Fecha,Dato
01/12/2003,100.0000
01/01/2004,99.4200
01/02/2004,99.6220
01/03/2004,98.1330
01/04/2004,98.2200
01/05/2004,100.7330
01/06/2004,101.9120
01/07/2004,102.2610
01/08/2004,103.4160
01/09/2004,108.0160
01/10/2004,108.1800
01/11/2004,106.6580
01/12/2004,103.5330
01/01/2005,98.5000
01/02/2005,97.6920
01/03/2005,96.5340
01/04/2005,95.9600
01/05/2005,94.4880
01/06/2005,97.5120
01/07/2005,98.0500
01/08/2005,97.6280
01/09/2005,97.0450
01/10/2005,97.5230
01/11/2005,100.4810
01/12/2005,99.0390
01/01/2006,99.7190
01/02/2006,99.5610
01/03/2006,101.7990
01/04/2006,105.3200
01/05/2006,109.8200
01/06/2006,110.4060
01/07/2006,109.6900
01/08/2006,109.2790
01/09/2006,115.5650
01/10/2006,120.5320
01/11/2006,124.8860
01/12/2006,131.0200
01/01/2007,144.1110
01/02/2007,153.8080
01/03/2007,151.8460
01/04/2007,150.1580
01/05/2007,146.3830
01/06/2007,146.3080
01/07/2007,145.1970
01/08/2007,145.3310
01/09/2007,145.4950
01/10/2007,148.8010
01/11/2007,148.7320
01/12/2007,143.4650
01/01/2008,138.7100
01/02/2008,137.4710
01/03/2008,138.1040
01/04/2008,142.7750
01/05/2008,146.7890
01/06/2008,152.2440
01/07/2008,157.9350
01/08/2008,165.1340
01/09/2008,167.6380
01/10/2008,173.0570
01/11/2008,168.9490
01/12/2008,167.8020
01/01/2009,165.5030
01/02/2009,161.0100
01/03/2009,159.7690
01/04/2009,164.4780
01/05/2009,162.9490
01/06/2009,163.6080
01/07/2009,162.4600
01/08/2009,160.9510
01/09/2009,159.2540
01/10/2009,159.9720
01/11/2009,163.2960
01/12/2009,162.2540
01/01/2010,160.9190
01/02/2010,160.7960
01/03/2010,162.6070
01/04/2010,160.6400
01/05/2010,161.0780
01/06/2010,159.8430
01/07/2010,159.8730
01/08/2010,161.3200
01/09/2010,160.6820
01/10/2010,158.6080
01/11/2010,159.7730
01/12/2010,162.9390
01/01/2011,165.7900
01/02/2011,184.4320
01/03/2011,227.3290
01/04/2011,230.4030
01/05/2011,229.2590
01/06/2011,234.3760
