Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.1220
01/02/2004,100.2860
01/03/2004,101.6580
01/04/2004,103.2110
01/05/2004,107.3100
01/06/2004,110.5000
01/07/2004,110.8030
01/08/2004,112.0350
01/09/2004,112.9320
01/10/2004,112.9320
01/11/2004,112.9320
01/12/2004,112.9320
01/01/2005,112.9320
01/02/2005,112.9320
01/03/2005,112.9320
01/04/2005,112.1210
01/05/2005,113.2930
01/06/2005,114.8060
01/07/2005,113.0790
01/08/2005,113.8480
01/09/2005,114.5960
01/10/2005,114.8990
01/11/2005,114.6180
01/12/2005,115.5050
01/01/2006,115.5050
01/02/2006,114.9350
01/03/2006,116.4500
01/04/2006,117.0270
01/05/2006,116.2440
01/06/2006,116.8230
01/07/2006,120.9650
01/08/2006,121.8590
01/09/2006,118.6390
01/10/2006,121.7050
01/11/2006,123.6310
01/12/2006,129.6000
01/01/2007,134.8970
01/02/2007,141.8500
01/03/2007,142.2770
01/04/2007,142.6820
01/05/2007,143.7730
01/06/2007,147.2100
01/07/2007,150.0830
01/08/2007,151.8420
01/09/2007,189.6440
01/10/2007,194.9480
01/11/2007,192.6610
01/12/2007,211.9310
01/01/2008,211.0220
01/02/2008,237.4340
01/03/2008,245.2450
01/04/2008,202.7620
01/05/2008,186.6180
01/06/2008,194.9450
01/07/2008,192.6530
01/08/2008,188.9210
01/09/2008,172.3370
01/10/2008,158.2040
01/11/2008,159.4910
01/12/2008,169.7410
01/01/2009,184.0840
01/02/2009,179.4980
01/03/2009,186.3040
01/04/2009,180.1550
01/05/2009,170.1850
01/06/2009,167.5590
01/07/2009,159.7760
01/08/2009,157.9900
01/09/2009,158.6660
01/10/2009,154.9800
01/11/2009,151.8120
01/12/2009,151.8130
01/01/2010,151.8130
01/02/2010,152.7130
01/03/2010,148.3730
01/04/2010,144.7040
01/05/2010,146.3560
01/06/2010,139.3490
01/07/2010,148.0610
01/08/2010,156.1190
01/09/2010,158.5210
01/10/2010,157.2700
01/11/2010,158.9630
01/12/2010,165.1800
01/01/2011,168.4610
01/02/2011,188.5450
01/03/2011,186.9720
01/04/2011,187.9550
01/05/2011,189.7520
01/06/2011,186.0700
