Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.7370
01/02/2004,99.7690
01/03/2004,100.4460
01/04/2004,100.5710
01/05/2004,99.0230
01/06/2004,96.6960
01/07/2004,95.6630
01/08/2004,96.4750
01/09/2004,94.8140
01/10/2004,96.4160
01/11/2004,99.0200
01/12/2004,99.0780
01/01/2005,98.2770
01/02/2005,98.3250
01/03/2005,95.9630
01/04/2005,95.0920
01/05/2005,93.8690
01/06/2005,95.2320
01/07/2005,94.9110
01/08/2005,95.2540
01/09/2005,101.7730
01/10/2005,101.3000
01/11/2005,96.9970
01/12/2005,98.3810
01/01/2006,100.2750
01/02/2006,103.0550
01/03/2006,102.6030
01/04/2006,102.3290
01/05/2006,101.1300
01/06/2006,104.2710
01/07/2006,102.8340
01/08/2006,112.6850
01/09/2006,112.1170
01/10/2006,110.6250
01/11/2006,111.8900
01/12/2006,112.6360
01/01/2007,113.9540
01/02/2007,108.3360
01/03/2007,111.8490
01/04/2007,112.2350
01/05/2007,114.0200
01/06/2007,112.6270
01/07/2007,107.2520
01/08/2007,104.5010
01/09/2007,106.9880
01/10/2007,107.4040
01/11/2007,107.3500
01/12/2007,107.7340
01/01/2008,110.9130
01/02/2008,114.7670
01/03/2008,115.1360
01/04/2008,116.3000
01/05/2008,116.3450
01/06/2008,115.9100
01/07/2008,121.8010
01/08/2008,126.7460
01/09/2008,129.2840
01/10/2008,126.1730
01/11/2008,123.6430
01/12/2008,125.4390
01/01/2009,127.4340
01/02/2009,128.7620
01/03/2009,128.1100
01/04/2009,128.1850
01/05/2009,129.3110
01/06/2009,133.1670
01/07/2009,136.4600
01/08/2009,139.3230
01/09/2009,139.9520
01/10/2009,139.5850
01/11/2009,138.6700
01/12/2009,138.6480
01/01/2010,137.9980
01/02/2010,137.4700
01/03/2010,135.2480
01/04/2010,134.2140
01/05/2010,130.2170
01/06/2010,131.7610
01/07/2010,131.9380
01/08/2010,132.1470
01/09/2010,134.2280
01/10/2010,136.7120
01/11/2010,137.5560
01/12/2010,137.7710
01/01/2011,135.9450
01/02/2011,137.4970
01/03/2011,137.9420
01/04/2011,138.7500
01/05/2011,138.8980
01/06/2011,140.2690
