Fecha,Dato
01/12/2003,100.0000
01/01/2004,98.5850
01/02/2004,99.1410
01/03/2004,99.7860
01/04/2004,101.2210
01/05/2004,102.4180
01/06/2004,103.4600
01/07/2004,105.3760
01/08/2004,111.3370
01/09/2004,112.6020
01/10/2004,112.8650
01/11/2004,113.2820
01/12/2004,110.7270
01/01/2005,111.2340
01/02/2005,112.4350
01/03/2005,110.2940
01/04/2005,104.8580
01/05/2005,102.6560
01/06/2005,105.3020
01/07/2005,103.1100
01/08/2005,107.1110
01/09/2005,107.5680
01/10/2005,104.9620
01/11/2005,105.4340
01/12/2005,105.0450
01/01/2006,109.6430
01/02/2006,114.1480
01/03/2006,115.6460
01/04/2006,110.0260
01/05/2006,110.2080
01/06/2006,116.4310
01/07/2006,116.4200
01/08/2006,118.0720
01/09/2006,123.2030
01/10/2006,126.0080
01/11/2006,128.1820
01/12/2006,130.6780
01/01/2007,156.9220
01/02/2007,161.0440
01/03/2007,159.8700
01/04/2007,157.7180
01/05/2007,158.6300
01/06/2007,156.8650
01/07/2007,152.0790
01/08/2007,151.4710
01/09/2007,151.9850
01/10/2007,151.3320
01/11/2007,153.1680
01/12/2007,153.5720
01/01/2008,158.9020
01/02/2008,166.6670
01/03/2008,171.1210
01/04/2008,181.8940
01/05/2008,184.9120
01/06/2008,198.2520
01/07/2008,200.3340
01/08/2008,198.3070
01/09/2008,197.4570
01/10/2008,196.9940
01/11/2008,198.6090
01/12/2008,196.4420
01/01/2009,197.8900
01/02/2009,197.6430
01/03/2009,197.8430
01/04/2009,198.3070
01/05/2009,198.3410
01/06/2009,198.8330
01/07/2009,198.2150
01/08/2009,198.3070
01/09/2009,198.4010
01/10/2009,198.5560
01/11/2009,198.0040
01/12/2009,198.0040
01/01/2010,198.2500
01/02/2010,197.1040
01/03/2010,193.4930
01/04/2010,194.4160
01/05/2010,190.1800
01/06/2010,184.0780
01/07/2010,184.2330
01/08/2010,184.3560
01/09/2010,188.8630
01/10/2010,189.5490
01/11/2010,199.4480
01/12/2010,199.4630
01/01/2011,201.8740
01/02/2011,215.6130
01/03/2011,232.1110
01/04/2011,232.5060
01/05/2011,236.8620
01/06/2011,236.3310
