Fecha,Dato
01/12/2003,100.0000
01/01/2004,110.9120
01/02/2004,121.2230
01/03/2004,119.9700
01/04/2004,120.4630
01/05/2004,128.5810
01/06/2004,139.0170
01/07/2004,125.1750
01/08/2004,125.3240
01/09/2004,144.9600
01/10/2004,139.7820
01/11/2004,160.2060
01/12/2004,186.3340
01/01/2005,185.2200
01/02/2005,205.4690
01/03/2005,236.2250
01/04/2005,223.3150
01/05/2005,216.8310
01/06/2005,202.2070
01/07/2005,179.3090
01/08/2005,176.4110
01/09/2005,166.4990
01/10/2005,180.3040
01/11/2005,182.2010
01/12/2005,180.1970
01/01/2006,213.0250
01/02/2006,199.3450
01/03/2006,195.8130
01/04/2006,204.4620
01/05/2006,196.3610
01/06/2006,187.3560
01/07/2006,179.9950
01/08/2006,191.3320
01/09/2006,191.3230
01/10/2006,188.0080
01/11/2006,210.4560
01/12/2006,225.9790
01/01/2007,214.8150
01/02/2007,205.8500
01/03/2007,201.5790
01/04/2007,196.0330
01/05/2007,189.1560
01/06/2007,199.0820
01/07/2007,190.7060
01/08/2007,204.6040
01/09/2007,218.6360
01/10/2007,226.7910
01/11/2007,218.3810
01/12/2007,232.7040
01/01/2008,236.9390
01/02/2008,262.2740
01/03/2008,268.7770
01/04/2008,224.9220
01/05/2008,225.1890
01/06/2008,230.6640
01/07/2008,234.1440
01/08/2008,228.9840
01/09/2008,235.3260
01/10/2008,232.7150
01/11/2008,242.5720
01/12/2008,240.5530
01/01/2009,262.1680
01/02/2009,277.6480
01/03/2009,275.3220
01/04/2009,267.6420
01/05/2009,288.2330
01/06/2009,287.6890
01/07/2009,269.6520
01/08/2009,283.8760
01/09/2009,286.4530
01/10/2009,299.2950
01/11/2009,296.5320
01/12/2009,304.3280
01/01/2010,301.1340
01/02/2010,293.3760
01/03/2010,301.5030
01/04/2010,300.6700
01/05/2010,316.0040
01/06/2010,350.9640
01/07/2010,384.3510
01/08/2010,397.2240
01/09/2010,426.2780
01/10/2010,413.9030
01/11/2010,442.6720
01/12/2010,467.4150
01/01/2011,491.6200
01/02/2011,529.7450
01/03/2011,552.8340
01/04/2011,548.9750
01/05/2011,529.7930
01/06/2011,503.9540
