Fecha,Dato
01/12/2003,100.0000
01/01/2004,101.5990
01/02/2004,95.3730
01/03/2004,93.0230
01/04/2004,89.4180
01/05/2004,96.1860
01/06/2004,88.6460
01/07/2004,73.3880
01/08/2004,71.9670
01/09/2004,76.0900
01/10/2004,71.1620
01/11/2004,67.5470
01/12/2004,65.4350
01/01/2005,68.2810
01/02/2005,67.0990
01/03/2005,75.6280
01/04/2005,76.0560
01/05/2005,74.5330
01/06/2005,69.7380
01/07/2005,71.1580
01/08/2005,67.8040
01/09/2005,71.5310
01/10/2005,76.7640
01/11/2005,73.7560
01/12/2005,73.0600
01/01/2006,76.0740
01/02/2006,76.0770
01/03/2006,74.5870
01/04/2006,75.5070
01/05/2006,72.6270
01/06/2006,76.5170
01/07/2006,72.8110
01/08/2006,73.8340
01/09/2006,71.9260
01/10/2006,68.8890
01/11/2006,69.7360
01/12/2006,75.1450
01/01/2007,76.4890
01/02/2007,74.4180
01/03/2007,76.1210
01/04/2007,72.1350
01/05/2007,66.4320
01/06/2007,74.7320
01/07/2007,85.1870
01/08/2007,81.4810
01/09/2007,85.7200
01/10/2007,88.1870
01/11/2007,88.9850
01/12/2007,87.5630
01/01/2008,94.4360
01/02/2008,95.7460
01/03/2008,100.9240
01/04/2008,91.6510
01/05/2008,86.7370
01/06/2008,88.7890
01/07/2008,87.4050
01/08/2008,83.6340
01/09/2008,82.1220
01/10/2008,80.3180
01/11/2008,71.9830
01/12/2008,76.7980
01/01/2009,85.8850
01/02/2009,84.3840
01/03/2009,79.2840
01/04/2009,83.5650
01/05/2009,96.4370
01/06/2009,93.4650
01/07/2009,99.0790
01/08/2009,96.2760
01/09/2009,102.3930
01/10/2009,109.8030
01/11/2009,116.3860
01/12/2009,119.2890
01/01/2010,115.8770
01/02/2010,119.4260
01/03/2010,128.5130
01/04/2010,125.8960
01/05/2010,129.0070
01/06/2010,130.2330
01/07/2010,132.9960
01/08/2010,143.5480
01/09/2010,158.7080
01/10/2010,186.9850
01/11/2010,212.5220
01/12/2010,225.8200
01/01/2011,235.6250
01/02/2011,287.3230
01/03/2011,314.8550
01/04/2011,286.2650
01/05/2011,237.2450
01/06/2011,230.2540
