Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.6820
01/02/2004,100.5190
01/03/2004,97.7550
01/04/2004,95.3510
01/05/2004,96.0410
01/06/2004,98.6290
01/07/2004,100.7530
01/08/2004,103.8310
01/09/2004,105.8010
01/10/2004,103.4780
01/11/2004,101.8790
01/12/2004,98.7190
01/01/2005,95.2140
01/02/2005,92.5320
01/03/2005,90.3390
01/04/2005,87.4260
01/05/2005,85.9890
01/06/2005,93.3150
01/07/2005,98.9940
01/08/2005,97.1470
01/09/2005,95.1970
01/10/2005,101.6260
01/11/2005,102.0360
01/12/2005,103.0690
01/01/2006,103.8230
01/02/2006,101.7820
01/03/2006,100.3150
01/04/2006,97.2710
01/05/2006,97.0150
01/06/2006,94.7350
01/07/2006,93.7420
01/08/2006,96.8770
01/09/2006,97.5620
01/10/2006,97.7240
01/11/2006,98.6610
01/12/2006,98.4730
01/01/2007,99.6550
01/02/2007,105.4180
01/03/2007,102.9630
01/04/2007,103.3090
01/05/2007,106.0110
01/06/2007,104.2270
01/07/2007,104.3240
01/08/2007,107.5040
01/09/2007,112.6510
01/10/2007,114.1060
01/11/2007,116.6700
01/12/2007,113.4800
01/01/2008,114.4680
01/02/2008,117.2450
01/03/2008,120.9560
01/04/2008,126.1220
01/05/2008,127.5640
01/06/2008,133.9550
01/07/2008,141.2670
01/08/2008,151.6110
01/09/2008,143.8870
01/10/2008,142.3060
01/11/2008,136.0060
01/12/2008,138.0390
01/01/2009,142.5590
01/02/2009,150.9180
01/03/2009,154.8840
01/04/2009,155.5790
01/05/2009,151.0050
01/06/2009,149.0720
01/07/2009,147.5500
01/08/2009,143.3480
01/09/2009,140.8670
01/10/2009,141.3860
01/11/2009,137.2250
01/12/2009,126.6360
01/01/2010,120.1420
01/02/2010,125.6200
01/03/2010,120.9880
01/04/2010,124.5930
01/05/2010,122.5800
01/06/2010,133.1900
01/07/2010,135.6360
01/08/2010,137.5920
01/09/2010,136.6460
01/10/2010,139.2880
01/11/2010,142.0720
01/12/2010,144.3770
01/01/2011,145.5320
01/02/2011,146.0140
01/03/2011,149.5430
01/04/2011,150.8320
01/05/2011,150.5310
01/06/2011,150.7710
