Fecha,Dato
01/12/2003,100.0000
01/01/2004,102.7420
01/02/2004,100.9610
01/03/2004,100.0890
01/04/2004,99.6370
01/05/2004,101.9610
01/06/2004,103.3060
01/07/2004,102.5070
01/08/2004,104.4860
01/09/2004,104.9270
01/10/2004,104.9970
01/11/2004,105.6460
01/12/2004,108.1200
01/01/2005,106.3150
01/02/2005,107.2240
01/03/2005,107.6010
01/04/2005,106.9390
01/05/2005,108.2870
01/06/2005,109.2230
01/07/2005,110.2090
01/08/2005,109.3930
01/09/2005,109.4080
01/10/2005,109.5930
01/11/2005,110.3240
01/12/2005,111.4350
01/01/2006,108.7220
01/02/2006,106.2160
01/03/2006,103.8910
01/04/2006,97.4440
01/05/2006,101.0440
01/06/2006,101.9840
01/07/2006,102.2090
01/08/2006,102.7640
01/09/2006,106.0290
01/10/2006,106.5430
01/11/2006,103.8770
01/12/2006,103.2400
01/01/2007,104.7010
01/02/2007,107.0170
01/03/2007,103.9360
01/04/2007,103.5760
01/05/2007,107.3990
01/06/2007,109.7470
01/07/2007,111.7430
01/08/2007,115.0470
01/09/2007,116.7300
01/10/2007,119.1450
01/11/2007,123.6890
01/12/2007,131.1020
01/01/2008,132.2050
01/02/2008,137.1240
01/03/2008,141.1400
01/04/2008,153.8210
01/05/2008,158.4200
01/06/2008,162.0940
01/07/2008,162.4670
01/08/2008,165.3030
01/09/2008,161.9400
01/10/2008,160.4530
01/11/2008,160.1030
01/12/2008,145.2890
01/01/2009,134.9590
01/02/2009,134.1380
01/03/2009,113.2290
01/04/2009,114.4610
01/05/2009,109.5590
01/06/2009,115.8900
01/07/2009,120.6120
01/08/2009,123.6980
01/09/2009,127.8920
01/10/2009,131.3030
01/11/2009,137.4040
01/12/2009,137.9650
01/01/2010,133.2710
01/02/2010,134.8360
01/03/2010,134.1610
01/04/2010,138.2720
01/05/2010,141.0040
01/06/2010,140.5280
01/07/2010,147.7920
01/08/2010,152.3060
01/09/2010,155.3190
01/10/2010,159.5610
01/11/2010,166.6160
01/12/2010,179.2950
01/01/2011,194.4810
01/02/2011,226.0170
01/03/2011,270.7090
01/04/2011,304.1550
01/05/2011,317.0090
01/06/2011,304.0800
