Fecha,Dato
01/12/2003,100.0000
01/01/2004,106.4890
01/02/2004,108.2400
01/03/2004,112.1970
01/04/2004,121.6500
01/05/2004,127.8870
01/06/2004,129.1490
01/07/2004,126.6170
01/08/2004,123.7230
01/09/2004,117.0170
01/10/2004,118.9940
01/11/2004,126.9210
01/12/2004,132.2890
01/01/2005,130.7660
01/02/2005,137.7200
01/03/2005,138.6780
01/04/2005,137.5730
01/05/2005,135.4850
01/06/2005,138.1000
01/07/2005,137.8550
01/08/2005,138.5010
01/09/2005,133.1790
01/10/2005,117.9080
01/11/2005,116.7930
01/12/2005,114.3020
01/01/2006,111.7120
01/02/2006,108.6950
01/03/2006,107.5850
01/04/2006,103.9230
01/05/2006,107.0460
01/06/2006,113.3730
01/07/2006,114.0160
01/08/2006,109.1390
01/09/2006,97.5640
01/10/2006,93.4720
01/11/2006,90.6670
01/12/2006,91.0750
01/01/2007,87.9180
01/02/2007,86.0790
01/03/2007,87.6040
01/04/2007,91.5100
01/05/2007,97.3110
01/06/2007,102.8260
01/07/2007,107.2450
01/08/2007,110.8370
01/09/2007,114.0710
01/10/2007,117.3890
01/11/2007,118.1380
01/12/2007,116.6190
01/01/2008,115.9990
01/02/2008,113.8620
01/03/2008,116.0050
01/04/2008,118.8820
01/05/2008,123.5020
01/06/2008,130.6540
01/07/2008,128.4650
01/08/2008,127.6540
01/09/2008,130.3840
01/10/2008,128.7490
01/11/2008,136.8440
01/12/2008,138.7990
01/01/2009,137.7450
01/02/2009,137.1360
01/03/2009,140.9840
01/04/2009,147.9730
01/05/2009,153.7810
01/06/2009,168.6600
01/07/2009,166.6050
01/08/2009,170.6780
01/09/2009,158.4260
01/10/2009,156.1800
01/11/2009,156.5800
01/12/2009,151.4660
01/01/2010,154.4570
01/02/2010,159.5570
01/03/2010,161.5150
01/04/2010,164.9360
01/05/2010,172.5280
01/06/2010,170.7730
01/07/2010,170.5770
01/08/2010,173.9670
01/09/2010,164.0380
01/10/2010,153.0560
01/11/2010,148.9590
01/12/2010,139.1320
01/01/2011,137.9890
01/02/2011,141.6430
01/03/2011,142.0770
01/04/2011,146.4430
01/05/2011,149.2330
01/06/2011,145.5210
