Fecha,Dato
01/12/2003,100.0000
01/01/2004,113.6030
01/02/2004,125.2110
01/03/2004,127.8820
01/04/2004,134.9320
01/05/2004,149.3650
01/06/2004,160.8950
01/07/2004,168.3400
01/08/2004,170.0200
01/09/2004,162.0580
01/10/2004,167.1760
01/11/2004,174.7710
01/12/2004,172.2200
01/01/2005,175.0400
01/02/2005,168.6940
01/03/2005,172.6180
01/04/2005,173.0710
01/05/2005,172.1350
01/06/2005,174.1180
01/07/2005,175.2810
01/08/2005,179.5410
01/09/2005,174.5440
01/10/2005,175.0900
01/11/2005,178.4870
01/12/2005,177.8750
01/01/2006,175.3050
01/02/2006,177.5430
01/03/2006,176.8260
01/04/2006,173.6710
01/05/2006,167.7190
01/06/2006,151.7350
01/07/2006,153.6810
01/08/2006,153.8100
01/09/2006,153.0560
01/10/2006,150.5040
01/11/2006,147.6540
01/12/2006,149.0360
01/01/2007,153.4610
01/02/2007,163.5300
01/03/2007,164.1150
01/04/2007,162.8710
01/05/2007,157.7980
01/06/2007,172.5530
01/07/2007,173.8410
01/08/2007,173.0860
01/09/2007,174.1910
01/10/2007,175.0640
01/11/2007,172.7990
01/12/2007,177.1180
01/01/2008,178.2450
01/02/2008,171.4700
01/03/2008,172.6330
01/04/2008,172.1700
01/05/2008,174.7390
01/06/2008,175.7020
01/07/2008,178.0540
01/08/2008,185.1460
01/09/2008,185.6510
01/10/2008,184.4950
01/11/2008,177.8340
01/12/2008,172.3680
01/01/2009,167.1370
01/02/2009,163.0530
01/03/2009,163.7990
01/04/2009,162.8910
01/05/2009,150.0820
01/06/2009,152.5440
01/07/2009,149.8310
01/08/2009,151.0380
01/09/2009,154.9840
01/10/2009,157.9520
01/11/2009,157.0450
01/12/2009,156.7560
01/01/2010,157.9880
01/02/2010,158.7440
01/03/2010,160.8960
01/04/2010,165.6410
01/05/2010,167.0750
01/06/2010,167.5170
01/07/2010,165.1970
01/08/2010,165.4410
01/09/2010,169.7050
01/10/2010,171.9380
01/11/2010,174.9560
01/12/2010,174.9610
01/01/2011,182.8830
01/02/2011,205.8770
01/03/2011,257.0240
01/04/2011,262.2530
01/05/2011,259.3490
01/06/2011,263.4030
