Fecha,Dato
01/12/2003,100.0000
01/01/2004,99.5300
01/02/2004,102.2900
01/03/2004,110.9010
01/04/2004,111.2230
01/05/2004,112.0610
01/06/2004,109.9400
01/07/2004,99.0330
01/08/2004,91.8750
01/09/2004,95.2860
01/10/2004,97.0610
01/11/2004,96.5610
01/12/2004,99.6650
01/01/2005,101.1880
01/02/2005,102.1760
01/03/2005,118.6620
01/04/2005,116.8000
01/05/2005,103.8290
01/06/2005,109.5630
01/07/2005,108.7810
01/08/2005,105.0140
01/09/2005,104.4960
01/10/2005,106.2090
01/11/2005,110.4420
01/12/2005,113.9800
01/01/2006,113.6970
01/02/2006,117.5610
01/03/2006,110.3090
01/04/2006,107.0850
01/05/2006,108.3170
01/06/2006,105.3560
01/07/2006,106.2630
01/08/2006,107.7660
01/09/2006,111.1360
01/10/2006,112.5070
01/11/2006,113.4710
01/12/2006,114.0600
01/01/2007,114.8710
01/02/2007,119.9060
01/03/2007,128.9560
01/04/2007,126.4510
01/05/2007,127.1200
01/06/2007,125.8180
01/07/2007,111.1660
01/08/2007,111.7460
01/09/2007,117.1560
01/10/2007,128.4820
01/11/2007,134.0830
01/12/2007,152.5670
01/01/2008,155.5140
01/02/2008,151.0210
01/03/2008,153.1090
01/04/2008,143.6260
01/05/2008,122.8960
01/06/2008,105.2400
01/07/2008,103.7960
01/08/2008,102.7540
01/09/2008,107.8840
01/10/2008,106.6220
01/11/2008,107.3100
01/12/2008,112.7210
01/01/2009,115.2350
01/02/2009,103.3330
01/03/2009,103.8810
01/04/2009,109.0830
01/05/2009,94.8850
01/06/2009,93.3790
01/07/2009,104.0770
01/08/2009,124.7640
01/09/2009,133.1980
01/10/2009,148.7800
01/11/2009,175.8650
01/12/2009,200.2260
01/01/2010,231.5420
01/02/2010,229.1610
01/03/2010,241.9370
01/04/2010,231.6240
01/05/2010,234.1000
01/06/2010,217.9150
01/07/2010,225.0820
01/08/2010,262.1860
01/09/2010,279.8050
01/10/2010,280.7030
01/11/2010,292.5540
01/12/2010,289.2250
01/01/2011,294.5070
01/02/2011,282.4630
01/03/2011,280.4170
01/04/2011,276.8150
01/05/2011,271.0180
01/06/2011,258.3710
