Fecha,Dato
01/12/2003,100.0000
01/01/2004,106.0940
01/02/2004,108.8420
01/03/2004,105.7040
01/04/2004,93.4220
01/05/2004,84.0200
01/06/2004,87.9590
01/07/2004,83.9510
01/08/2004,89.4680
01/09/2004,93.5160
01/10/2004,101.7230
01/11/2004,117.2930
01/12/2004,125.7720
01/01/2005,123.7770
01/02/2005,115.7810
01/03/2005,112.7230
01/04/2005,103.5370
01/05/2005,100.4980
01/06/2005,111.7230
01/07/2005,126.8770
01/08/2005,153.0210
01/09/2005,160.9430
01/10/2005,152.0200
01/11/2005,117.2520
01/12/2005,99.1490
01/01/2006,94.4360
01/02/2006,86.5680
01/03/2006,88.1610
01/04/2006,93.1910
01/05/2006,117.3230
01/06/2006,122.3270
01/07/2006,131.5470
01/08/2006,137.4860
01/09/2006,138.9900
01/10/2006,139.7040
01/11/2006,147.9250
01/12/2006,141.6950
01/01/2007,158.5210
01/02/2007,205.3400
01/03/2007,208.1540
01/04/2007,156.0230
01/05/2007,124.5110
01/06/2007,105.5680
01/07/2007,112.9040
01/08/2007,109.2440
01/09/2007,118.8720
01/10/2007,127.9860
01/11/2007,138.5680
01/12/2007,149.6010
01/01/2008,141.7680
01/02/2008,109.5070
01/03/2008,96.5450
01/04/2008,97.7280
01/05/2008,103.4570
01/06/2008,127.9570
01/07/2008,134.0780
01/08/2008,149.7010
01/09/2008,195.1240
01/10/2008,214.3670
01/11/2008,205.4640
01/12/2008,163.5540
01/01/2009,148.4420
01/02/2009,163.7850
01/03/2009,143.4720
01/04/2009,135.2240
01/05/2009,165.2900
01/06/2009,209.0920
01/07/2009,186.9890
01/08/2009,163.5150
01/09/2009,159.6410
01/10/2009,151.2000
01/11/2009,137.3950
01/12/2009,129.2120
01/01/2010,128.2270
01/02/2010,139.3550
01/03/2010,129.6850
01/04/2010,127.2840
01/05/2010,121.6940
01/06/2010,129.6710
01/07/2010,147.8950
01/08/2010,139.3150
01/09/2010,176.0570
01/10/2010,239.4850
01/11/2010,229.6040
01/12/2010,231.4530
01/01/2011,316.5790
01/02/2011,387.7960
01/03/2011,266.7420
01/04/2011,178.9000
01/05/2011,152.3550
01/06/2011,162.9360
