Fecha,Dato
01/12/2003,100.0000
01/01/2004,114.5340
01/02/2004,96.6400
01/03/2004,95.8980
01/04/2004,89.2410
01/05/2004,88.2080
01/06/2004,87.3560
01/07/2004,84.9150
01/08/2004,85.7480
01/09/2004,82.4910
01/10/2004,91.4680
01/11/2004,127.3040
01/12/2004,125.3780
01/01/2005,106.6900
01/02/2005,103.1640
01/03/2005,103.7960
01/04/2005,96.7380
01/05/2005,99.9220
01/06/2005,96.9970
01/07/2005,104.1540
01/08/2005,106.4140
01/09/2005,101.0850
01/10/2005,102.2830
01/11/2005,102.7840
01/12/2005,117.6610
01/01/2006,124.3410
01/02/2006,111.1680
01/03/2006,105.3020
01/04/2006,99.6380
01/05/2006,103.0980
01/06/2006,99.2370
01/07/2006,108.7870
01/08/2006,107.8570
01/09/2006,102.0840
01/10/2006,103.4130
01/11/2006,108.1730
01/12/2006,123.3160
01/01/2007,122.4740
01/02/2007,118.6630
01/03/2007,117.7010
01/04/2007,115.0980
01/05/2007,110.7170
01/06/2007,114.9830
01/07/2007,118.2080
01/08/2007,117.1210
01/09/2007,113.6720
01/10/2007,124.6130
01/11/2007,148.8900
01/12/2007,153.3100
01/01/2008,148.0520
01/02/2008,152.8610
01/03/2008,155.9450
01/04/2008,147.8030
01/05/2008,152.6230
01/06/2008,157.3250
01/07/2008,160.8050
01/08/2008,150.7610
01/09/2008,133.1320
01/10/2008,137.2640
01/11/2008,133.6140
01/12/2008,153.3830
01/01/2009,171.9840
01/02/2009,175.5670
01/03/2009,152.3480
01/04/2009,140.8950
01/05/2009,146.7120
01/06/2009,135.9570
01/07/2009,131.4260
01/08/2009,122.2010
01/09/2009,125.7400
01/10/2009,124.7840
01/11/2009,129.8170
01/12/2009,131.6100
01/01/2010,143.4530
01/02/2010,140.6770
01/03/2010,132.6930
01/04/2010,128.0870
01/05/2010,121.8510
01/06/2010,122.1060
01/07/2010,123.6410
01/08/2010,126.5250
01/09/2010,120.2980
01/10/2010,117.9800
01/11/2010,126.3630
01/12/2010,154.5060
01/01/2011,158.5560
01/02/2011,140.0510
01/03/2011,142.4320
01/04/2011,147.0310
01/05/2011,141.0000
01/06/2011,139.6240
