Fecha,Dato
01/12/2003,100.0000
01/01/2004,108.7280
01/02/2004,123.0800
01/03/2004,104.8500
01/04/2004,93.2250
01/05/2004,94.7650
01/06/2004,95.0720
01/07/2004,92.6570
01/08/2004,95.6330
01/09/2004,102.2740
01/10/2004,120.5430
01/11/2004,113.1940
01/12/2004,101.7220
01/01/2005,111.9660
01/02/2005,108.4330
01/03/2005,109.6090
01/04/2005,103.0350
01/05/2005,107.7040
01/06/2005,110.3360
01/07/2005,122.5090
01/08/2005,116.7330
01/09/2005,107.5160
01/10/2005,99.4600
01/11/2005,106.1050
01/12/2005,102.4740
01/01/2006,109.5370
01/02/2006,119.3740
01/03/2006,122.6750
01/04/2006,118.9470
01/05/2006,127.0320
01/06/2006,115.3620
01/07/2006,109.8870
01/08/2006,114.8940
01/09/2006,115.2300
01/10/2006,121.9060
01/11/2006,140.2160
01/12/2006,148.7090
01/01/2007,126.7010
01/02/2007,124.0180
01/03/2007,122.1040
01/04/2007,112.7280
01/05/2007,124.1720
01/06/2007,124.0330
01/07/2007,121.8390
01/08/2007,123.3420
01/09/2007,127.4560
01/10/2007,131.6940
01/11/2007,142.2440
01/12/2007,121.5670
01/01/2008,118.2640
01/02/2008,128.3910
01/03/2008,130.0350
01/04/2008,137.4670
01/05/2008,126.1470
01/06/2008,130.3470
01/07/2008,136.5000
01/08/2008,117.8720
01/09/2008,117.3560
01/10/2008,140.8630
01/11/2008,124.5550
01/12/2008,127.0220
01/01/2009,126.0960
01/02/2009,129.4070
01/03/2009,142.5710
01/04/2009,138.0830
01/05/2009,139.6900
01/06/2009,127.7360
01/07/2009,127.5620
01/08/2009,140.1750
01/09/2009,153.4430
01/10/2009,144.2340
01/11/2009,144.5100
01/12/2009,140.8740
01/01/2010,145.9320
01/02/2010,163.9540
01/03/2010,172.4330
01/04/2010,143.3510
01/05/2010,151.7870
01/06/2010,171.8510
01/07/2010,174.7080
01/08/2010,171.5180
01/09/2010,156.6620
01/10/2010,168.6030
01/11/2010,184.0460
01/12/2010,206.8440
01/01/2011,187.0550
01/02/2011,159.9620
01/03/2011,145.5500
01/04/2011,151.1280
01/05/2011,167.9390
01/06/2011,180.1220
