Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.2680
01/02/2004,100.2920
01/03/2004,99.6030
01/04/2004,99.2050
01/05/2004,100.7920
01/06/2004,100.0780
01/07/2004,104.0870
01/08/2004,103.8140
01/09/2004,102.6250
01/10/2004,102.9610
01/11/2004,104.6280
01/12/2004,105.4190
01/01/2005,109.6910
01/02/2005,110.6820
01/03/2005,107.9050
01/04/2005,106.7140
01/05/2005,106.7140
01/06/2005,110.3420
01/07/2005,108.3130
01/08/2005,112.8400
01/09/2005,113.9670
01/10/2005,114.4910
01/11/2005,115.1210
01/12/2005,115.5410
01/01/2006,116.1250
01/02/2006,116.2320
01/03/2006,115.3310
01/04/2006,116.9180
01/05/2006,116.9180
01/06/2006,116.9180
01/07/2006,118.6190
01/08/2006,117.4600
01/09/2006,115.7350
01/10/2006,116.1770
01/11/2006,117.9290
01/12/2006,121.5240
01/01/2007,126.2860
01/02/2007,123.9050
01/03/2007,123.7410
01/04/2007,125.7820
01/05/2007,122.6070
01/06/2007,122.6070
01/07/2007,123.8810
01/08/2007,115.0680
01/09/2007,115.5990
01/10/2007,124.0090
01/11/2007,129.6510
01/12/2007,130.6360
01/01/2008,133.0170
01/02/2008,136.1910
01/03/2008,131.4290
01/04/2008,134.1050
01/05/2008,133.4990
01/06/2008,143.3380
01/07/2008,149.7340
01/08/2008,156.3270
01/09/2008,166.4720
01/10/2008,165.1330
01/11/2008,165.1330
01/12/2008,169.2000
01/01/2009,175.0490
01/02/2009,193.5610
01/03/2009,193.9560
01/04/2009,182.1390
01/05/2009,179.1750
01/06/2009,189.2970
01/07/2009,175.8500
01/08/2009,155.6120
01/09/2009,154.9100
01/10/2009,158.8640
01/11/2009,163.9600
01/12/2009,174.4350
01/01/2010,180.5900
01/02/2010,179.9700
01/03/2010,177.8360
01/04/2010,178.4110
01/05/2010,180.3490
01/06/2010,178.3120
01/07/2010,169.7350
01/08/2010,166.2080
01/09/2010,171.8530
01/10/2010,176.1370
01/11/2010,188.8390
01/12/2010,191.8680
01/01/2011,193.1970
01/02/2011,194.6890
01/03/2011,194.0150
01/04/2011,195.5940
01/05/2011,196.6260
01/06/2011,210.0660
