Fecha,Dato
01/12/2003,100.0000
01/01/2004,132.9970
01/02/2004,101.4900
01/03/2004,71.5650
01/04/2004,69.2610
01/05/2004,66.6590
01/06/2004,51.0690
01/07/2004,47.9160
01/08/2004,61.5880
01/09/2004,66.4310
01/10/2004,65.4830
01/11/2004,72.9500
01/12/2004,72.1990
01/01/2005,70.5640
01/02/2005,75.8090
01/03/2005,78.3470
01/04/2005,74.2120
01/05/2005,65.5510
01/06/2005,64.1110
01/07/2005,73.4980
01/08/2005,60.0910
01/09/2005,63.3010
01/10/2005,70.1500
01/11/2005,63.0390
01/12/2005,90.4700
01/01/2006,115.2370
01/02/2006,108.3010
01/03/2006,109.7460
01/04/2006,100.8920
01/05/2006,79.7350
01/06/2006,66.9080
01/07/2006,74.3800
01/08/2006,76.0690
01/09/2006,84.4640
01/10/2006,79.1520
01/11/2006,75.0640
01/12/2006,90.5350
01/01/2007,97.8710
01/02/2007,146.2780
01/03/2007,206.9290
01/04/2007,220.8150
01/05/2007,103.0080
01/06/2007,89.1470
01/07/2007,83.1490
01/08/2007,87.5840
01/09/2007,87.6200
01/10/2007,93.2030
01/11/2007,106.2410
01/12/2007,141.1730
01/01/2008,170.7180
01/02/2008,165.9800
01/03/2008,165.4940
01/04/2008,114.1000
01/05/2008,94.9650
01/06/2008,79.6060
01/07/2008,77.0040
01/08/2008,78.4180
01/09/2008,89.9820
01/10/2008,83.8120
01/11/2008,96.8730
01/12/2008,163.4580
01/01/2009,223.3130
01/02/2009,240.7160
01/03/2009,241.8260
01/04/2009,198.8930
01/05/2009,119.8340
01/06/2009,119.7830
01/07/2009,99.0660
01/08/2009,105.2880
01/09/2009,115.6710
01/10/2009,116.1420
01/11/2009,122.6530
01/12/2009,138.2810
01/01/2010,141.6760
01/02/2010,147.9690
01/03/2010,155.2850
01/04/2010,239.8530
01/05/2010,263.3310
01/06/2010,177.3450
01/07/2010,122.8310
01/08/2010,109.3530
01/09/2010,114.1740
01/10/2010,121.1230
01/11/2010,181.5170
01/12/2010,357.0500
01/01/2011,511.1540
01/02/2011,501.8320
01/03/2011,370.6490
01/04/2011,175.3420
01/05/2011,139.8520
01/06/2011,136.5020
