Fecha,Dato
01/12/2003,100.0000
01/01/2004,101.9290
01/02/2004,93.6930
01/03/2004,86.8150
01/04/2004,83.3450
01/05/2004,82.7590
01/06/2004,86.1950
01/07/2004,90.9980
01/08/2004,91.9010
01/09/2004,90.1940
01/10/2004,91.6910
01/11/2004,93.2280
01/12/2004,93.3970
01/01/2005,92.7330
01/02/2005,92.8110
01/03/2005,89.4180
01/04/2005,88.5550
01/05/2005,84.3200
01/06/2005,81.4960
01/07/2005,87.3740
01/08/2005,93.5130
01/09/2005,88.5630
01/10/2005,90.2250
01/11/2005,95.9300
01/12/2005,101.6540
01/01/2006,102.1160
01/02/2006,103.7840
01/03/2006,103.4090
01/04/2006,103.1740
01/05/2006,99.6530
01/06/2006,90.5980
01/07/2006,89.4350
01/08/2006,88.8500
01/09/2006,88.0060
01/10/2006,89.9480
01/11/2006,91.9470
01/12/2006,92.7240
01/01/2007,101.1310
01/02/2007,113.7220
01/03/2007,113.3460
01/04/2007,113.7640
01/05/2007,113.0700
01/06/2007,109.0370
01/07/2007,102.3090
01/08/2007,109.8610
01/09/2007,120.7870
01/10/2007,126.3220
01/11/2007,130.2890
01/12/2007,130.3190
01/01/2008,135.5960
01/02/2008,139.9650
01/03/2008,132.5860
01/04/2008,133.5900
01/05/2008,133.0120
01/06/2008,123.9240
01/07/2008,126.4060
01/08/2008,126.0200
01/09/2008,133.8070
01/10/2008,140.0300
01/11/2008,141.3520
01/12/2008,143.2670
01/01/2009,145.9780
01/02/2009,140.2880
01/03/2009,129.6360
01/04/2009,125.2030
01/05/2009,128.2440
01/06/2009,127.9160
01/07/2009,129.5590
01/08/2009,120.9500
01/09/2009,123.3260
01/10/2009,137.1440
01/11/2009,139.4370
01/12/2009,139.6340
01/01/2010,139.7140
01/02/2010,125.8530
01/03/2010,125.5170
01/04/2010,126.9840
01/05/2010,126.6340
01/06/2010,120.8780
01/07/2010,100.1720
01/08/2010,105.2860
01/09/2010,112.3900
01/10/2010,119.8490
01/11/2010,127.4080
01/12/2010,128.4320
01/01/2011,128.6190
01/02/2011,126.6880
01/03/2011,121.2500
01/04/2011,115.9240
01/05/2011,112.7180
01/06/2011,111.5400
