Fecha,Dato
01/12/2003,100.0000
01/01/2004,114.0340
01/02/2004,124.1010
01/03/2004,111.5290
01/04/2004,109.6120
01/05/2004,111.8050
01/06/2004,112.9290
01/07/2004,101.6780
01/08/2004,118.1840
01/09/2004,130.7880
01/10/2004,112.3970
01/11/2004,111.9740
01/12/2004,107.5680
01/01/2005,124.2160
01/02/2005,145.0560
01/03/2005,122.4160
01/04/2005,134.7320
01/05/2005,167.2310
01/06/2005,153.3250
01/07/2005,147.7610
01/08/2005,154.0830
01/09/2005,186.4100
01/10/2005,215.3530
01/11/2005,213.3660
01/12/2005,174.9350
01/01/2006,192.7940
01/02/2006,203.2940
01/03/2006,203.0030
01/04/2006,201.6980
01/05/2006,192.0760
01/06/2006,159.3320
01/07/2006,134.7320
01/08/2006,132.6330
01/09/2006,133.4530
01/10/2006,143.0890
01/11/2006,118.0680
01/12/2006,116.9590
01/01/2007,130.2610
01/02/2007,132.8350
01/03/2007,139.6880
01/04/2007,144.4590
01/05/2007,151.5550
01/06/2007,146.8110
01/07/2007,135.4290
01/08/2007,145.0750
01/09/2007,188.8130
01/10/2007,224.1350
01/11/2007,190.3340
01/12/2007,181.6950
01/01/2008,199.1760
01/02/2008,174.6570
01/03/2008,159.0360
01/04/2008,174.0480
01/05/2008,169.6780
01/06/2008,166.8070
01/07/2008,167.2400
01/08/2008,205.6920
01/09/2008,216.4420
01/10/2008,214.0390
01/11/2008,208.8960
01/12/2008,180.1130
01/01/2009,173.0210
01/02/2009,168.9630
01/03/2009,159.4880
01/04/2009,143.8500
01/05/2009,143.6240
01/06/2009,138.6010
01/07/2009,144.5610
01/08/2009,162.9210
01/09/2009,179.2130
01/10/2009,176.1090
01/11/2009,170.0360
01/12/2009,148.5650
01/01/2010,163.1070
01/02/2010,177.8950
01/03/2010,162.3730
01/04/2010,178.1750
01/05/2010,184.4050
01/06/2010,182.6740
01/07/2010,159.5490
01/08/2010,187.9420
01/09/2010,266.7640
01/10/2010,331.9490
01/11/2010,367.3220
01/12/2010,277.1590
01/01/2011,234.1200
01/02/2011,264.0000
01/03/2011,210.4250
01/04/2011,183.2510
01/05/2011,166.3520
01/06/2011,163.2710
