Fecha,Dato
01/12/2003,100.0000
01/01/2004,95.6310
01/02/2004,86.2390
01/03/2004,96.1770
01/04/2004,102.0060
01/05/2004,96.5340
01/06/2004,84.5420
01/07/2004,90.9060
01/08/2004,128.3210
01/09/2004,112.9540
01/10/2004,125.8580
01/11/2004,91.1050
01/12/2004,82.7100
01/01/2005,86.8020
01/02/2005,88.0130
01/03/2005,91.9090
01/04/2005,95.7940
01/05/2005,92.9210
01/06/2005,97.6810
01/07/2005,93.3790
01/08/2005,110.4970
01/09/2005,152.9610
01/10/2005,134.8460
01/11/2005,128.6480
01/12/2005,126.7870
01/01/2006,132.2020
01/02/2006,107.2080
01/03/2006,102.4560
01/04/2006,96.9730
01/05/2006,86.9800
01/06/2006,77.5850
01/07/2006,88.5150
01/08/2006,106.5400
01/09/2006,116.5120
01/10/2006,131.9510
01/11/2006,109.4600
01/12/2006,96.2780
01/01/2007,104.8600
01/02/2007,94.6640
01/03/2007,99.4690
01/04/2007,97.9340
01/05/2007,104.9990
01/06/2007,101.1410
01/07/2007,103.0970
01/08/2007,109.4660
01/09/2007,109.8810
01/10/2007,131.2660
01/11/2007,131.8370
01/12/2007,122.2620
01/01/2008,110.9620
01/02/2008,103.9220
01/03/2008,93.0680
01/04/2008,97.6800
01/05/2008,100.6430
01/06/2008,142.6240
01/07/2008,136.0750
01/08/2008,134.6210
01/09/2008,133.9560
01/10/2008,139.5650
01/11/2008,136.5030
01/12/2008,120.9290
01/01/2009,118.5340
01/02/2009,109.6290
01/03/2009,113.0410
01/04/2009,115.7850
01/05/2009,127.3000
01/06/2009,108.2130
01/07/2009,126.0650
01/08/2009,146.0700
01/09/2009,151.9380
01/10/2009,189.8140
01/11/2009,174.7890
01/12/2009,140.5250
01/01/2010,138.7430
01/02/2010,137.7770
01/03/2010,132.0040
01/04/2010,127.4180
01/05/2010,126.5260
01/06/2010,132.6870
01/07/2010,136.4910
01/08/2010,137.8980
01/09/2010,193.9730
01/10/2010,208.0010
01/11/2010,187.2890
01/12/2010,157.7130
01/01/2011,162.5800
01/02/2011,165.4490
01/03/2011,147.4320
01/04/2011,139.7040
01/05/2011,140.6190
01/06/2011,152.3320
