Fecha,Dato
01/12/2003,100.0000
01/01/2004,99.8780
01/02/2004,102.5810
01/03/2004,113.6220
01/04/2004,113.8300
01/05/2004,114.7540
01/06/2004,126.8160
01/07/2004,133.9850
01/08/2004,178.0780
01/09/2004,156.0690
01/10/2004,138.8110
01/11/2004,125.9090
01/12/2004,132.2300
01/01/2005,144.0220
01/02/2005,155.9720
01/03/2005,168.1100
01/04/2005,212.6090
01/05/2005,228.3260
01/06/2005,219.5970
01/07/2005,232.4030
01/08/2005,231.0340
01/09/2005,197.1510
01/10/2005,152.8340
01/11/2005,160.1950
01/12/2005,156.8100
01/01/2006,156.7730
01/02/2006,155.3380
01/03/2006,162.8810
01/04/2006,166.5760
01/05/2006,181.1870
01/06/2006,199.7460
01/07/2006,257.9190
01/08/2006,269.8210
01/09/2006,202.6050
01/10/2006,169.5500
01/11/2006,151.9780
01/12/2006,137.8470
01/01/2007,149.9400
01/02/2007,137.5190
01/03/2007,142.1910
01/04/2007,154.3970
01/05/2007,173.3810
01/06/2007,186.7100
01/07/2007,196.9840
01/08/2007,196.6700
01/09/2007,195.4810
01/10/2007,180.9560
01/11/2007,168.0940
01/12/2007,150.2430
01/01/2008,142.3710
01/02/2008,138.0990
01/03/2008,145.7810
01/04/2008,172.7880
01/05/2008,163.3100
01/06/2008,166.0070
01/07/2008,171.4660
01/08/2008,173.4950
01/09/2008,163.1070
01/10/2008,183.9070
01/11/2008,163.7990
01/12/2008,143.8290
01/01/2009,138.1190
01/02/2009,132.5710
01/03/2009,144.4150
01/04/2009,157.0580
01/05/2009,188.1780
01/06/2009,221.2460
01/07/2009,289.3840
01/08/2009,295.1900
01/09/2009,296.4850
01/10/2009,254.7290
01/11/2009,234.2760
01/12/2009,233.4580
01/01/2010,256.3070
01/02/2010,266.1130
01/03/2010,272.4610
01/04/2010,291.3190
01/05/2010,339.7040
01/06/2010,345.3460
01/07/2010,357.2930
01/08/2010,351.0360
01/09/2010,308.5740
01/10/2010,271.3590
01/11/2010,249.2790
01/12/2010,226.7800
01/01/2011,235.0440
01/02/2011,225.4780
01/03/2011,233.1610
01/04/2011,248.9990
01/05/2011,292.6320
01/06/2011,337.7380
