Fecha,Dato
01/12/2003,100.0000
01/01/2004,102.9270
01/02/2004,110.6830
01/03/2004,93.3750
01/04/2004,91.6820
01/05/2004,90.6550
01/06/2004,82.9120
01/07/2004,78.6450
01/08/2004,79.9120
01/09/2004,83.9480
01/10/2004,91.2540
01/11/2004,97.8430
01/12/2004,104.9810
01/01/2005,103.7720
01/02/2005,108.5440
01/03/2005,99.7920
01/04/2005,97.7920
01/05/2005,96.3610
01/06/2005,92.1320
01/07/2005,99.3760
01/08/2005,98.4270
01/09/2005,89.8540
01/10/2005,94.6930
01/11/2005,105.5510
01/12/2005,118.2860
01/01/2006,119.3920
01/02/2006,128.2570
01/03/2006,116.8600
01/04/2006,106.6660
01/05/2006,116.5500
01/06/2006,104.6560
01/07/2006,100.3760
01/08/2006,103.8000
01/09/2006,108.2030
01/10/2006,112.2210
01/11/2006,113.6960
01/12/2006,146.6430
01/01/2007,143.8460
01/02/2007,143.5660
01/03/2007,115.2230
01/04/2007,120.0530
01/05/2007,114.1000
01/06/2007,109.2810
01/07/2007,113.5500
01/08/2007,113.6890
01/09/2007,119.3240
01/10/2007,119.1110
01/11/2007,129.9440
01/12/2007,144.8680
01/01/2008,132.4270
01/02/2008,142.5240
01/03/2008,126.6160
01/04/2008,120.5530
01/05/2008,120.9810
01/06/2008,112.0570
01/07/2008,109.9420
01/08/2008,101.7750
01/09/2008,104.7540
01/10/2008,114.5660
01/11/2008,128.2360
01/12/2008,149.2390
01/01/2009,141.6420
01/02/2009,167.5290
01/03/2009,131.5730
01/04/2009,114.7570
01/05/2009,108.9540
01/06/2009,99.3120
01/07/2009,102.7150
01/08/2009,100.5720
01/09/2009,102.2450
01/10/2009,99.7350
01/11/2009,113.5290
01/12/2009,116.2170
01/01/2010,132.9460
01/02/2010,124.5180
01/03/2010,106.2780
01/04/2010,101.7300
01/05/2010,105.4240
01/06/2010,92.0650
01/07/2010,93.3970
01/08/2010,100.5220
01/09/2010,98.6370
01/10/2010,101.3490
01/11/2010,132.3070
01/12/2010,149.3010
01/01/2011,131.4120
01/02/2011,133.8560
01/03/2011,101.6060
01/04/2011,86.2150
01/05/2011,109.1330
01/06/2011,96.3360
