Fecha,Dato
01/12/2003,100.0000
01/01/2004,104.4040
01/02/2004,107.4310
01/03/2004,107.9260
01/04/2004,108.1990
01/05/2004,107.2770
01/06/2004,109.1550
01/07/2004,109.4700
01/08/2004,112.1140
01/09/2004,116.0500
01/10/2004,121.4120
01/11/2004,123.7160
01/12/2004,126.2700
01/01/2005,128.6100
01/02/2005,128.5570
01/03/2005,128.3540
01/04/2005,125.5910
01/05/2005,124.4520
01/06/2005,127.0100
01/07/2005,128.6990
01/08/2005,126.6300
01/09/2005,126.9670
01/10/2005,127.1380
01/11/2005,130.6810
01/12/2005,130.7020
01/01/2006,131.2480
01/02/2006,131.2290
01/03/2006,130.0630
01/04/2006,129.3230
01/05/2006,128.4830
01/06/2006,127.3760
01/07/2006,126.9970
01/08/2006,123.8650
01/09/2006,122.2310
01/10/2006,121.8780
01/11/2006,122.0930
01/12/2006,126.7680
01/01/2007,131.2790
01/02/2007,132.1780
01/03/2007,132.3050
01/04/2007,131.2110
01/05/2007,130.3560
01/06/2007,130.4510
01/07/2007,130.7480
01/08/2007,129.8240
01/09/2007,131.3740
01/10/2007,131.6470
01/11/2007,133.0570
01/12/2007,133.7730
01/01/2008,135.3580
01/02/2008,135.7140
01/03/2008,135.9680
01/04/2008,137.4540
01/05/2008,137.8050
01/06/2008,137.7370
01/07/2008,139.3730
01/08/2008,140.1680
01/09/2008,140.4450
01/10/2008,142.6970
01/11/2008,143.1650
01/12/2008,145.7120
01/01/2009,144.2990
01/02/2009,140.2380
01/03/2009,139.3230
01/04/2009,136.7190
01/05/2009,139.6310
01/06/2009,142.3980
01/07/2009,142.2010
01/08/2009,142.7730
01/09/2009,144.0190
01/10/2009,143.0720
01/11/2009,139.6500
01/12/2009,137.9390
01/01/2010,139.9930
01/02/2010,141.0280
01/03/2010,140.1120
01/04/2010,137.3520
01/05/2010,137.6400
01/06/2010,138.4010
01/07/2010,142.5910
01/08/2010,142.6620
01/09/2010,142.2460
01/10/2010,141.7600
01/11/2010,141.4880
01/12/2010,141.2210
01/01/2011,141.9730
01/02/2011,141.6550
01/03/2011,142.1530
01/04/2011,141.3620
01/05/2011,143.4110
01/06/2011,143.2860
