Fecha,Dato
01/12/2003,100.0000
01/01/2004,102.2560
01/02/2004,102.5300
01/03/2004,103.2400
01/04/2004,103.5860
01/05/2004,110.0650
01/06/2004,122.6610
01/07/2004,123.9330
01/08/2004,126.4810
01/09/2004,128.0850
01/10/2004,126.4550
01/11/2004,121.5320
01/12/2004,124.4110
01/01/2005,127.0860
01/02/2005,125.6030
01/03/2005,123.2900
01/04/2005,117.2520
01/05/2005,110.1260
01/06/2005,111.4500
01/07/2005,119.5890
01/08/2005,120.3560
01/09/2005,119.7150
01/10/2005,117.6690
01/11/2005,115.3220
01/12/2005,115.2360
01/01/2006,117.5230
01/02/2006,118.3720
01/03/2006,117.3410
01/04/2006,114.5350
01/05/2006,111.4020
01/06/2006,105.2390
01/07/2006,106.2210
01/08/2006,108.5630
01/09/2006,106.3390
01/10/2006,105.8080
01/11/2006,101.0590
01/12/2006,101.2160
01/01/2007,108.6710
01/02/2007,106.6430
01/03/2007,104.8730
01/04/2007,100.4850
01/05/2007,99.5000
01/06/2007,101.3350
01/07/2007,110.1690
01/08/2007,113.1550
01/09/2007,113.1580
01/10/2007,112.8580
01/11/2007,107.6060
01/12/2007,105.5280
01/01/2008,110.3230
01/02/2008,110.1010
01/03/2008,108.5770
01/04/2008,108.3420
01/05/2008,112.0680
01/06/2008,127.7790
01/07/2008,139.5060
01/08/2008,134.1260
01/09/2008,130.8930
01/10/2008,125.2850
01/11/2008,128.1420
01/12/2008,131.0510
01/01/2009,136.7760
01/02/2009,138.7180
01/03/2009,139.4800
01/04/2009,139.1830
01/05/2009,134.4530
01/06/2009,122.7630
01/07/2009,130.3650
01/08/2009,135.8400
01/09/2009,135.3130
01/10/2009,131.4230
01/11/2009,123.2410
01/12/2009,126.8260
01/01/2010,141.8430
01/02/2010,129.7860
01/03/2010,128.2800
01/04/2010,128.1140
01/05/2010,128.1140
01/06/2010,131.5550
01/07/2010,135.6210
01/08/2010,138.4480
01/09/2010,138.1080
01/10/2010,138.3090
01/11/2010,137.5400
01/12/2010,135.9980
01/01/2011,138.1860
01/02/2011,141.1370
01/03/2011,141.6120
01/04/2011,138.8750
01/05/2011,137.4320
01/06/2011,137.8280
