Fecha,Dato
01/12/2003,100.0000
01/01/2004,96.1400
01/02/2004,97.2510
01/03/2004,98.6770
01/04/2004,97.0480
01/05/2004,97.4200
01/06/2004,101.6720
01/07/2004,104.8310
01/08/2004,104.8310
01/09/2004,104.3140
01/10/2004,108.4480
01/11/2004,110.6630
01/12/2004,110.5050
01/01/2005,110.6630
01/02/2005,110.6630
01/03/2005,110.6630
01/04/2005,121.5830
01/05/2005,121.7020
01/06/2005,120.8650
01/07/2005,114.9920
01/08/2005,115.0360
01/09/2005,134.2440
01/10/2005,143.5400
01/11/2005,143.3460
01/12/2005,143.3960
01/01/2006,133.8510
01/02/2006,132.4760
01/03/2006,132.4760
01/04/2006,143.3960
01/05/2006,143.3460
01/06/2006,137.9490
01/07/2006,151.7500
01/08/2006,143.3960
01/09/2006,143.3960
01/10/2006,143.3960
01/11/2006,167.9470
01/12/2006,176.1300
01/01/2007,176.1300
01/02/2007,159.7760
01/03/2007,154.3160
01/04/2007,145.6910
01/05/2007,117.7720
01/06/2007,118.8610
01/07/2007,122.4070
01/08/2007,122.4990
01/09/2007,122.4330
01/10/2007,124.9600
01/11/2007,127.8410
01/12/2007,126.8660
01/01/2008,121.9230
01/02/2008,125.9660
01/03/2008,129.7630
01/04/2008,131.9500
01/05/2008,135.0010
01/06/2008,144.5460
01/07/2008,150.9880
01/08/2008,152.3790
01/09/2008,161.5800
01/10/2008,164.3960
01/11/2008,165.7180
01/12/2008,154.4180
01/01/2009,127.0920
01/02/2009,118.0440
01/03/2009,114.8860
01/04/2009,121.6970
01/05/2009,126.7780
01/06/2009,132.1850
01/07/2009,137.5540
01/08/2009,135.8250
01/09/2009,137.7760
01/10/2009,145.4980
01/11/2009,145.2790
01/12/2009,141.7170
01/01/2010,141.7030
01/02/2010,140.8810
01/03/2010,140.6000
01/04/2010,142.7230
01/05/2010,140.7670
01/06/2010,140.6690
01/07/2010,140.8700
01/08/2010,141.1510
01/09/2010,141.0150
01/10/2010,141.2320
01/11/2010,138.9450
01/12/2010,145.0600
01/01/2011,149.1030
01/02/2011,148.3310
01/03/2011,141.3290
01/04/2011,142.9210
01/05/2011,145.6840
01/06/2011,150.6700
