Fecha,Dato
01/12/2003,100.0000
01/01/2004,107.9460
01/02/2004,117.2480
01/03/2004,120.8470
01/04/2004,114.8340
01/05/2004,114.8610
01/06/2004,136.1430
01/07/2004,138.3890
01/08/2004,132.5510
01/09/2004,111.8410
01/10/2004,102.9720
01/11/2004,111.3880
01/12/2004,135.1760
01/01/2005,133.7140
01/02/2005,127.5640
01/03/2005,117.4650
01/04/2005,121.7730
01/05/2005,147.5910
01/06/2005,153.2120
01/07/2005,160.8090
01/08/2005,139.7350
01/09/2005,84.1300
01/10/2005,75.8250
01/11/2005,82.1660
01/12/2005,104.5730
01/01/2006,107.1370
01/02/2006,131.9130
01/03/2006,123.3610
01/04/2006,100.8880
01/05/2006,138.3370
01/06/2006,111.2820
01/07/2006,99.9240
01/08/2006,101.9370
01/09/2006,117.4120
01/10/2006,124.7950
01/11/2006,117.0680
01/12/2006,130.5320
01/01/2007,118.3340
01/02/2007,117.8280
01/03/2007,103.8980
01/04/2007,140.0220
01/05/2007,155.0890
01/06/2007,150.4570
01/07/2007,152.7510
01/08/2007,145.0300
01/09/2007,116.3080
01/10/2007,94.6170
01/11/2007,109.8980
01/12/2007,131.3550
01/01/2008,137.1330
01/02/2008,127.8150
01/03/2008,138.9930
01/04/2008,148.7210
01/05/2008,168.3420
01/06/2008,135.2330
01/07/2008,113.5590
01/08/2008,104.1950
01/09/2008,129.1560
01/10/2008,142.1410
01/11/2008,144.1910
01/12/2008,159.1720
01/01/2009,182.4430
01/02/2009,186.9390
01/03/2009,181.5320
01/04/2009,169.1140
01/05/2009,180.8350
01/06/2009,173.7310
01/07/2009,151.6450
01/08/2009,127.4390
01/09/2009,138.4290
01/10/2009,125.1070
01/11/2009,125.2780
01/12/2009,144.6630
01/01/2010,154.2740
01/02/2010,153.7430
01/03/2010,159.6840
01/04/2010,161.6770
01/05/2010,179.5740
01/06/2010,171.6300
01/07/2010,180.6420
01/08/2010,180.9330
01/09/2010,168.9550
01/10/2010,161.6930
01/11/2010,142.1080
01/12/2010,159.7340
01/01/2011,181.2440
01/02/2011,152.6480
01/03/2011,139.6280
01/04/2011,158.1570
01/05/2011,174.8700
01/06/2011,191.7170
