Fecha,Dato
01/12/2003,100.0000
01/01/2004,96.3260
01/02/2004,96.6750
01/03/2004,95.2700
01/04/2004,96.3020
01/05/2004,97.3820
01/06/2004,98.0590
01/07/2004,108.2030
01/08/2004,107.8920
01/09/2004,108.2480
01/10/2004,107.8590
01/11/2004,107.8750
01/12/2004,107.1200
01/01/2005,107.3080
01/02/2005,106.8560
01/03/2005,106.8330
01/04/2005,106.7640
01/05/2005,106.2410
01/06/2005,105.5700
01/07/2005,105.0000
01/08/2005,109.5020
01/09/2005,110.0220
01/10/2005,110.2360
01/11/2005,110.2890
01/12/2005,109.9270
01/01/2006,113.4920
01/02/2006,113.0440
01/03/2006,125.7450
01/04/2006,127.3070
01/05/2006,127.5370
01/06/2006,129.1330
01/07/2006,127.4210
01/08/2006,128.1290
01/09/2006,128.6290
01/10/2006,129.5680
01/11/2006,129.3890
01/12/2006,129.2370
01/01/2007,141.2210
01/02/2007,141.5160
01/03/2007,142.2000
01/04/2007,139.9810
01/05/2007,139.1840
01/06/2007,139.1660
01/07/2007,138.9910
01/08/2007,140.1730
01/09/2007,140.2380
01/10/2007,139.2520
01/11/2007,139.3260
01/12/2007,139.2920
01/01/2008,139.5960
01/02/2008,138.9210
01/03/2008,138.6770
01/04/2008,137.6700
01/05/2008,137.3080
01/06/2008,136.6770
01/07/2008,136.2460
01/08/2008,135.4740
01/09/2008,134.3630
01/10/2008,156.7420
01/11/2008,165.0010
01/12/2008,168.4550
01/01/2009,174.2930
01/02/2009,182.8570
01/03/2009,186.2410
01/04/2009,169.4190
01/05/2009,167.1210
01/06/2009,168.1380
01/07/2009,168.2040
01/08/2009,148.9340
01/09/2009,153.4400
01/10/2009,152.3220
01/11/2009,150.6680
01/12/2009,147.6020
01/01/2010,147.5170
01/02/2010,148.0550
01/03/2010,146.4120
01/04/2010,144.9620
01/05/2010,146.6140
01/06/2010,146.8020
01/07/2010,147.2260
01/08/2010,146.7830
01/09/2010,147.2620
01/10/2010,145.7590
01/11/2010,145.2560
01/12/2010,145.5700
01/01/2011,144.6120
01/02/2011,144.3120
01/03/2011,144.0960
01/04/2011,143.0580
01/05/2011,142.6620
01/06/2011,143.2330
