Fecha,Dato
01/12/2003,100.0000
01/01/2004,116.9140
01/02/2004,119.0930
01/03/2004,123.5150
01/04/2004,124.5170
01/05/2004,117.0990
01/06/2004,118.6820
01/07/2004,114.0390
01/08/2004,120.4560
01/09/2004,116.1250
01/10/2004,112.4850
01/11/2004,113.4860
01/12/2004,114.4690
01/01/2005,126.1370
01/02/2005,125.7510
01/03/2005,126.1170
01/04/2005,127.2870
01/05/2005,128.8170
01/06/2005,132.9430
01/07/2005,132.0090
01/08/2005,130.6330
01/09/2005,126.8200
01/10/2005,120.7270
01/11/2005,121.2100
01/12/2005,122.1920
01/01/2006,118.9260
01/02/2006,116.5190
01/03/2006,116.9130
01/04/2006,118.9220
01/05/2006,123.4300
01/06/2006,121.2320
01/07/2006,116.3870
01/08/2006,111.1040
01/09/2006,109.8540
01/10/2006,110.4570
01/11/2006,110.9950
01/12/2006,108.6370
01/01/2007,107.7460
01/02/2007,108.6270
01/03/2007,109.8560
01/04/2007,106.7540
01/05/2007,106.1560
01/06/2007,105.9550
01/07/2007,103.8370
01/08/2007,103.6090
01/09/2007,105.1840
01/10/2007,104.5550
01/11/2007,101.1660
01/12/2007,99.8200
01/01/2008,104.1810
01/02/2008,109.9300
01/03/2008,114.7880
01/04/2008,114.7900
01/05/2008,117.0410
01/06/2008,116.6290
01/07/2008,115.9240
01/08/2008,113.3940
01/09/2008,111.6570
01/10/2008,106.5520
01/11/2008,105.5980
01/12/2008,109.6440
01/01/2009,110.9660
01/02/2009,113.2870
01/03/2009,114.8310
01/04/2009,114.2690
01/05/2009,114.8610
01/06/2009,122.0060
01/07/2009,126.0940
01/08/2009,121.2920
01/09/2009,121.6080
01/10/2009,116.9310
01/11/2009,122.2320
01/12/2009,122.9840
01/01/2010,119.0820
01/02/2010,121.7070
01/03/2010,121.5040
01/04/2010,119.5990
01/05/2010,117.8690
01/06/2010,118.3870
01/07/2010,118.0520
01/08/2010,118.4830
01/09/2010,119.4280
01/10/2010,118.1510
01/11/2010,117.0440
01/12/2010,119.6230
01/01/2011,121.3150
01/02/2011,122.4940
01/03/2011,124.3430
01/04/2011,125.1630
01/05/2011,124.8140
01/06/2011,124.9360
