Fecha,Dato
01/12/2003,100.0000
01/01/2004,97.0650
01/02/2004,97.7950
01/03/2004,97.6420
01/04/2004,99.8670
01/05/2004,120.7780
01/06/2004,119.3920
01/07/2004,120.3850
01/08/2004,122.9950
01/09/2004,123.5580
01/10/2004,137.4820
01/11/2004,137.5300
01/12/2004,135.3170
01/01/2005,135.8660
01/02/2005,134.5430
01/03/2005,129.4560
01/04/2005,120.8440
01/05/2005,119.4660
01/06/2005,117.6940
01/07/2005,116.1910
01/08/2005,115.8850
01/09/2005,104.1140
01/10/2005,104.5680
01/11/2005,103.2300
01/12/2005,119.5510
01/01/2006,119.0970
01/02/2006,118.0820
01/03/2006,120.6120
01/04/2006,124.1550
01/05/2006,133.5810
01/06/2006,137.4610
01/07/2006,133.3010
01/08/2006,131.2700
01/09/2006,132.4520
01/10/2006,134.1260
01/11/2006,131.5050
01/12/2006,131.1460
01/01/2007,131.9500
01/02/2007,132.6470
01/03/2007,134.2630
01/04/2007,132.7080
01/05/2007,152.5670
01/06/2007,152.5170
01/07/2007,138.9890
01/08/2007,142.0530
01/09/2007,142.2230
01/10/2007,157.1250
01/11/2007,157.3410
01/12/2007,148.5080
01/01/2008,149.3450
01/02/2008,147.4870
01/03/2008,146.8130
01/04/2008,144.0400
01/05/2008,143.0450
01/06/2008,141.3060
01/07/2008,140.1200
01/08/2008,137.9960
01/09/2008,144.7510
01/10/2008,217.8360
01/11/2008,229.3170
01/12/2008,234.1170
01/01/2009,242.2300
01/02/2009,254.1330
01/03/2009,258.8360
01/04/2009,235.4580
01/05/2009,133.4850
01/06/2009,134.2960
01/07/2009,134.3510
01/08/2009,123.4250
01/09/2009,137.9350
01/10/2009,158.1620
01/11/2009,156.4440
01/12/2009,152.9110
01/01/2010,152.6490
01/02/2010,154.3220
01/03/2010,150.3160
01/04/2010,145.8110
01/05/2010,150.9460
01/06/2010,151.5280
01/07/2010,152.8460
01/08/2010,152.3480
01/09/2010,153.0290
01/10/2010,148.0960
01/11/2010,146.8720
01/12/2010,148.7560
01/01/2011,146.3130
01/02/2011,145.5200
01/03/2011,145.3490
01/04/2011,143.8210
01/05/2011,142.6000
01/06/2011,143.9580
