Fecha,Dato
01/12/2003,100.0000
01/01/2004,102.4440
01/02/2004,105.6550
01/03/2004,114.2680
01/04/2004,114.1470
01/05/2004,94.7670
01/06/2004,97.1900
01/07/2004,99.6000
01/08/2004,109.2390
01/09/2004,122.6040
01/10/2004,122.2450
01/11/2004,115.4590
01/12/2004,113.9170
01/01/2005,109.5110
01/02/2005,118.9560
01/03/2005,124.5380
01/04/2005,115.5070
01/05/2005,105.6240
01/06/2005,109.7690
01/07/2005,106.1930
01/08/2005,99.7300
01/09/2005,110.1110
01/10/2005,118.4460
01/11/2005,114.9220
01/12/2005,115.1250
01/01/2006,112.5350
01/02/2006,112.4990
01/03/2006,129.5500
01/04/2006,125.8010
01/05/2006,113.2300
01/06/2006,108.1040
01/07/2006,111.9920
01/08/2006,117.7770
01/09/2006,118.4540
01/10/2006,118.8640
01/11/2006,121.7570
01/12/2006,123.0450
01/01/2007,122.2350
01/02/2007,121.6210
01/03/2007,122.0100
01/04/2007,125.5650
01/05/2007,113.5680
01/06/2007,119.6370
01/07/2007,129.4230
01/08/2007,131.4940
01/09/2007,130.0800
01/10/2007,124.9880
01/11/2007,125.3620
01/12/2007,120.8370
01/01/2008,121.6490
01/02/2008,122.5270
01/03/2008,137.8610
01/04/2008,134.0220
01/05/2008,131.4720
01/06/2008,132.6800
01/07/2008,132.4110
01/08/2008,118.8300
01/09/2008,125.3160
01/10/2008,115.9860
01/11/2008,124.0830
01/12/2008,133.8120
01/01/2009,140.4670
01/02/2009,130.1130
01/03/2009,142.8830
01/04/2009,144.5140
01/05/2009,132.4970
01/06/2009,127.8680
01/07/2009,124.3830
01/08/2009,122.9230
01/09/2009,133.2490
01/10/2009,140.1400
01/11/2009,146.8570
01/12/2009,146.8780
01/01/2010,150.2120
01/02/2010,151.3540
01/03/2010,153.8300
01/04/2010,154.9320
01/05/2010,152.4310
01/06/2010,152.3130
01/07/2010,153.0880
01/08/2010,155.3810
01/09/2010,159.7940
01/10/2010,153.8070
01/11/2010,160.0860
01/12/2010,164.8960
01/01/2011,169.9840
01/02/2011,173.4980
01/03/2011,175.3760
01/04/2011,178.1390
01/05/2011,169.8560
01/06/2011,170.5630
