Fecha,Dato
01/12/2003,100.0000
01/01/2004,99.1570
01/02/2004,103.4200
01/03/2004,104.2060
01/04/2004,103.5900
01/05/2004,105.6660
01/06/2004,104.2850
01/07/2004,107.2380
01/08/2004,105.1740
01/09/2004,106.0840
01/10/2004,114.9390
01/11/2004,116.4030
01/12/2004,125.2390
01/01/2005,132.9550
01/02/2005,139.8560
01/03/2005,142.4010
01/04/2005,138.3960
01/05/2005,133.7980
01/06/2005,133.4260
01/07/2005,127.8050
01/08/2005,132.8120
01/09/2005,138.7270
01/10/2005,139.5700
01/11/2005,150.6080
01/12/2005,149.8270
01/01/2006,182.4820
01/02/2006,201.0410
01/03/2006,192.0390
01/04/2006,214.8210
01/05/2006,299.7910
01/06/2006,322.3710
01/07/2006,293.5220
01/08/2006,293.0840
01/09/2006,298.7630
01/10/2006,320.7930
01/11/2006,366.0510
01/12/2006,389.2730
01/01/2007,362.6300
01/02/2007,314.5210
01/03/2007,312.1530
01/04/2007,340.7680
01/05/2007,362.1520
01/06/2007,341.8010
01/07/2007,332.6700
01/08/2007,311.6650
01/09/2007,279.0590
01/10/2007,284.6280
01/11/2007,242.9970
01/12/2007,228.2860
01/01/2008,226.7030
01/02/2008,231.7970
01/03/2008,235.4150
01/04/2008,212.8750
01/05/2008,203.3740
01/06/2008,174.9820
01/07/2008,166.6640
01/08/2008,154.0510
01/09/2008,163.4740
01/10/2008,147.2350
01/11/2008,143.3640
01/12/2008,139.5910
01/01/2009,148.3100
01/02/2009,143.6740
01/03/2009,157.7920
01/04/2009,166.5810
01/05/2009,174.4130
01/06/2009,185.9840
01/07/2009,185.8220
01/08/2009,210.0900
01/09/2009,229.1020
01/10/2009,259.2030
01/11/2009,266.2980
01/12/2009,272.5410
01/01/2010,266.0710
01/02/2010,258.2780
01/03/2010,266.5630
01/04/2010,256.5970
01/05/2010,229.4040
01/06/2010,205.8230
01/07/2010,212.6880
01/08/2010,235.0080
01/09/2010,248.6570
01/10/2010,265.7600
01/11/2010,254.7520
01/12/2010,255.4380
01/01/2011,264.4330
01/02/2011,274.4510
01/03/2011,259.2670
01/04/2011,256.7490
01/05/2011,231.0780
01/06/2011,242.0360
