Fecha,Dato
01/12/2003,100.0000
01/01/2004,105.3690
01/02/2004,119.1900
01/03/2004,126.0700
01/04/2004,115.2410
01/05/2004,113.4520
01/06/2004,126.0080
01/07/2004,131.3160
01/08/2004,135.2940
01/09/2004,133.1300
01/10/2004,138.0060
01/11/2004,139.6450
01/12/2004,140.8050
01/01/2005,140.2430
01/02/2005,133.9880
01/03/2005,143.9960
01/04/2005,142.1000
01/05/2005,139.9610
01/06/2005,139.5240
01/07/2005,124.3870
01/08/2005,122.7580
01/09/2005,124.3070
01/10/2005,138.8600
01/11/2005,139.6860
01/12/2005,148.5100
01/01/2006,159.7300
01/02/2006,174.3720
01/03/2006,163.4890
01/04/2006,166.5810
01/05/2006,168.5060
01/06/2006,149.8150
01/07/2006,147.2940
01/08/2006,159.3240
01/09/2006,179.6420
01/10/2006,201.9710
01/11/2006,218.4540
01/12/2006,225.8840
01/01/2007,224.6560
01/02/2007,229.6050
01/03/2007,257.3040
01/04/2007,264.2340
01/05/2007,267.9360
01/06/2007,301.4870
01/07/2007,375.9740
01/08/2007,408.6110
01/09/2007,400.4700
01/10/2007,471.3910
01/11/2007,444.0690
01/12/2007,349.8070
01/01/2008,335.9800
01/02/2008,364.2260
01/03/2008,395.8060
01/04/2008,352.3710
01/05/2008,301.7120
01/06/2008,239.2140
01/07/2008,229.1600
01/08/2008,244.3430
01/09/2008,240.3710
01/10/2008,211.0680
01/11/2008,185.2970
01/12/2008,177.9640
01/01/2009,191.4220
01/02/2009,205.3540
01/03/2009,221.8280
01/04/2009,230.1000
01/05/2009,236.1160
01/06/2009,265.3640
01/07/2009,272.2860
01/08/2009,290.7330
01/09/2009,348.5970
01/10/2009,357.0120
01/11/2009,364.8430
01/12/2009,354.2180
01/01/2010,374.9040
01/02/2010,333.9900
01/03/2010,338.4760
01/04/2010,333.7640
01/05/2010,313.5880
01/06/2010,270.9420
01/07/2010,285.3060
01/08/2010,322.3000
01/09/2010,335.9370
01/10/2010,350.8400
01/11/2010,354.9680
01/12/2010,360.0440
01/01/2011,369.9650
01/02/2011,372.0250
01/03/2011,373.4750
01/04/2011,377.9820
01/05/2011,336.5910
01/06/2011,356.9170
