Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.6500
01/02/2004,103.1200
01/03/2004,104.3500
01/04/2004,105.0200
01/05/2004,105.1700
01/06/2004,106.0100
01/07/2004,106.4000
01/08/2004,107.1000
01/09/2004,106.3400
01/10/2004,106.0000
01/11/2004,105.3700
01/12/2004,105.9700
01/01/2005,107.1400
01/02/2005,107.9600
01/03/2005,108.3800
01/04/2005,109.6200
01/05/2005,109.2900
01/06/2005,109.8200
01/07/2005,109.4200
01/08/2005,109.3900
01/09/2005,109.9400
01/10/2005,110.4100
01/11/2005,112.2900
01/12/2005,112.3800
01/01/2006,112.3900
01/02/2006,114.4600
01/03/2006,113.2600
01/04/2006,112.1000
01/05/2006,112.4700
01/06/2006,113.5500
01/07/2006,113.3000
01/08/2006,113.5000
01/09/2006,113.8000
01/10/2006,114.3500
01/11/2006,113.5800
01/12/2006,114.5400
01/01/2007,115.5800
01/02/2007,116.1100
01/03/2007,116.3700
01/04/2007,117.3100
01/05/2007,117.3800
01/06/2007,118.5800
01/07/2007,120.7200
01/08/2007,121.3900
01/09/2007,121.6700
01/10/2007,122.2000
01/11/2007,122.5000
01/12/2007,122.2600
01/01/2008,124.2900
01/02/2008,126.5200
01/03/2008,126.9400
01/04/2008,127.7600
01/05/2008,127.8300
01/06/2008,127.9900
01/07/2008,128.9000
01/08/2008,129.4600
01/09/2008,130.3200
01/10/2008,130.9600
01/11/2008,131.9400
01/12/2008,134.0900
01/01/2009,134.8600
01/02/2009,135.4500
01/03/2009,135.5400
01/04/2009,135.9300
01/05/2009,136.2000
01/06/2009,136.0900
01/07/2009,137.2000
01/08/2009,137.0500
01/09/2009,137.5900
01/10/2009,137.9340
01/11/2009,137.5090
01/12/2009,137.5310
01/01/2010,138.0290
01/02/2010,138.0950
01/03/2010,138.5450
01/04/2010,138.9970
01/05/2010,139.3310
01/06/2010,139.0520
01/07/2010,139.8510
01/08/2010,140.3690
01/09/2010,140.8760
01/10/2010,141.2740
01/11/2010,140.8570
01/12/2010,140.6260
01/01/2011,141.1500
01/02/2011,141.8480
01/03/2011,143.7850
01/04/2011,144.6590
01/05/2011,145.3060
01/06/2011,145.3750
