Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.5300
01/02/2004,101.7800
01/03/2004,102.9300
01/04/2004,103.8300
01/05/2004,104.2800
01/06/2004,105.1500
01/07/2004,105.4200
01/08/2004,105.5300
01/09/2004,105.0400
01/10/2004,105.1200
01/11/2004,104.9000
01/12/2004,105.7200
01/01/2005,105.7600
01/02/2005,106.3900
01/03/2005,106.2900
01/04/2005,106.3100
01/05/2005,106.3500
01/06/2005,106.5500
01/07/2005,106.4500
01/08/2005,106.2700
01/09/2005,106.6700
01/10/2005,106.7000
01/11/2005,107.5200
01/12/2005,107.3000
01/01/2006,107.4600
01/02/2006,109.4400
01/03/2006,109.6300
01/04/2006,108.4800
01/05/2006,108.9700
01/06/2006,110.1600
01/07/2006,110.1800
01/08/2006,110.5900
01/09/2006,110.7900
01/10/2006,111.5600
01/11/2006,110.7800
01/12/2006,111.2500
01/01/2007,111.4900
01/02/2007,111.8700
01/03/2007,111.8500
01/04/2007,112.0600
01/05/2007,112.4800
01/06/2007,112.4900
01/07/2007,113.6200
01/08/2007,113.7600
01/09/2007,113.8600
01/10/2007,114.5300
01/11/2007,114.8800
01/12/2007,115.2400
01/01/2008,116.2900
01/02/2008,118.2200
01/03/2008,118.2000
01/04/2008,118.9400
01/05/2008,119.1800
01/06/2008,120.3300
01/07/2008,120.8100
01/08/2008,121.3000
01/09/2008,121.5400
01/10/2008,121.8000
01/11/2008,122.2500
01/12/2008,122.7400
01/01/2009,123.6200
01/02/2009,124.4700
01/03/2009,124.3900
01/04/2009,124.4800
01/05/2009,125.0300
01/06/2009,125.0200
01/07/2009,125.5700
01/08/2009,125.6100
01/09/2009,125.6400
01/10/2009,125.8320
01/11/2009,125.1710
01/12/2009,125.2890
01/01/2010,125.7640
01/02/2010,126.0970
01/03/2010,126.5120
01/04/2010,126.6690
01/05/2010,126.8560
01/06/2010,126.7590
01/07/2010,127.1360
01/08/2010,127.2520
01/09/2010,127.9060
01/10/2010,128.3450
01/11/2010,128.4020
01/12/2010,128.2040
01/01/2011,128.5360
01/02/2011,129.6770
01/03/2011,130.8910
01/04/2011,131.8660
01/05/2011,132.3630
01/06/2011,132.7690
