Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,100.0000
01/03/2004,100.0000
01/04/2004,100.0000
01/05/2004,100.0000
01/06/2004,100.0000
01/07/2004,100.0000
01/08/2004,100.0000
01/09/2004,100.0000
01/10/2004,100.0000
01/11/2004,100.0000
01/12/2004,100.0000
01/01/2005,100.0000
01/02/2005,100.0000
01/03/2005,100.0000
01/04/2005,100.0000
01/05/2005,100.0000
01/06/2005,100.0000
01/07/2005,100.0000
01/08/2005,100.0000
01/09/2005,100.0000
01/10/2005,100.0000
01/11/2005,100.0000
01/12/2005,100.0000
01/01/2006,100.0000
01/02/2006,100.1340
01/03/2006,101.2410
01/04/2006,102.6430
01/05/2006,102.8360
01/06/2006,104.4150
01/07/2006,102.8140
01/08/2006,101.9640
01/09/2006,102.4090
01/10/2006,102.1550
01/11/2006,102.0320
01/12/2006,101.8820
01/01/2007,102.1530
01/02/2007,102.3630
01/03/2007,102.6200
01/04/2007,102.3580
01/05/2007,102.0830
01/06/2007,102.0310
01/07/2007,101.9340
01/08/2007,103.0020
01/09/2007,103.1320
01/10/2007,102.6200
01/11/2007,102.6640
01/12/2007,102.6010
01/01/2008,103.2680
01/02/2008,103.0300
01/03/2008,103.1870
01/04/2008,102.5700
01/05/2008,102.5230
01/06/2008,102.2510
01/07/2008,102.0330
01/08/2008,101.5470
01/09/2008,103.0410
01/10/2008,108.6100
01/11/2008,110.2380
01/12/2008,111.1400
01/01/2009,112.6320
01/02/2009,114.7560
01/03/2009,115.1940
01/04/2009,111.6310
01/05/2009,111.3460
01/06/2009,111.6400
01/07/2009,111.7400
01/08/2009,110.7010
01/09/2009,111.8300
01/10/2009,111.6320
01/11/2009,111.2080
01/12/2009,110.5080
01/01/2010,113.6800
01/02/2010,114.8000
01/03/2010,113.6260
01/04/2010,112.5860
01/05/2010,113.9970
01/06/2010,114.1740
01/07/2010,114.7550
01/08/2010,114.4420
01/09/2010,114.7650
01/10/2010,113.7330
01/11/2010,113.4430
01/12/2010,113.6750
01/01/2011,113.5420
01/02/2011,113.4970
01/03/2011,113.3850
01/04/2011,112.8180
01/05/2011,112.4930
01/06/2011,112.9270
