Fecha,Dato
01/12/2003,100.0000
01/01/2004,101.6200
01/02/2004,102.4610
01/03/2004,103.0130
01/04/2004,102.1430
01/05/2004,105.9280
01/06/2004,115.8440
01/07/2004,116.6330
01/08/2004,119.6490
01/09/2004,121.6730
01/10/2004,119.7120
01/11/2004,116.5550
01/12/2004,118.1080
01/01/2005,119.1590
01/02/2005,117.1170
01/03/2005,115.9590
01/04/2005,111.9280
01/05/2005,108.1860
01/06/2005,110.4650
01/07/2005,113.1090
01/08/2005,114.8850
01/09/2005,116.1230
01/10/2005,114.2980
01/11/2005,113.3410
01/12/2005,113.6150
01/01/2006,113.0130
01/02/2006,113.7710
01/03/2006,113.3260
01/04/2006,111.1190
01/05/2006,109.1810
01/06/2006,105.9590
01/07/2006,107.0640
01/08/2006,108.9390
01/09/2006,107.7220
01/10/2006,107.1100
01/11/2006,102.3600
01/12/2006,103.1110
01/01/2007,106.4580
01/02/2007,106.6430
01/03/2007,105.9640
01/04/2007,99.4400
01/05/2007,96.8950
01/06/2007,99.8390
01/07/2007,104.4680
01/08/2007,106.4240
01/09/2007,107.0520
01/10/2007,108.1450
01/11/2007,105.1670
01/12/2007,103.9220
01/01/2008,106.2240
01/02/2008,107.5250
01/03/2008,106.4230
01/04/2008,106.2490
01/05/2008,108.7020
01/06/2008,124.3150
01/07/2008,134.1740
01/08/2008,128.6070
01/09/2008,123.9320
01/10/2008,120.1850
01/11/2008,125.0140
01/12/2008,127.8490
01/01/2009,132.8030
01/02/2009,133.3950
01/03/2009,134.8590
01/04/2009,135.9180
01/05/2009,130.1560
01/06/2009,120.0080
01/07/2009,124.9660
01/08/2009,129.6150
01/09/2009,127.8010
01/10/2009,124.8590
01/11/2009,123.7180
01/12/2009,126.9180
01/01/2010,135.4810
01/02/2010,128.9650
01/03/2010,126.7590
01/04/2010,125.7830
01/05/2010,126.2490
01/06/2010,129.9190
01/07/2010,135.7500
01/08/2010,136.3560
01/09/2010,137.3680
01/10/2010,137.6190
01/11/2010,137.8510
01/12/2010,138.7560
01/01/2011,139.0200
01/02/2011,137.4030
01/03/2011,135.8120
01/04/2011,134.4050
01/05/2011,134.5810
01/06/2011,134.8350
