Fecha,Dato
01/12/2003,100.0000
01/01/2004,105.2170
01/02/2004,110.5870
01/03/2004,110.9150
01/04/2004,110.7270
01/05/2004,108.9030
01/06/2004,117.3200
01/07/2004,117.3450
01/08/2004,112.7020
01/09/2004,104.5670
01/10/2004,98.4050
01/11/2004,104.9790
01/12/2004,119.5610
01/01/2005,120.6270
01/02/2005,120.9270
01/03/2005,117.2680
01/04/2005,115.0200
01/05/2005,125.0720
01/06/2005,133.4080
01/07/2005,135.2700
01/08/2005,130.5150
01/09/2005,102.8030
01/10/2005,86.7960
01/11/2005,87.8060
01/12/2005,97.0040
01/01/2006,97.7550
01/02/2006,116.3240
01/03/2006,113.7830
01/04/2006,109.2670
01/05/2006,122.9990
01/06/2006,113.2270
01/07/2006,105.0520
01/08/2006,100.9930
01/09/2006,112.5960
01/10/2006,117.0510
01/11/2006,117.9810
01/12/2006,125.8800
01/01/2007,120.3650
01/02/2007,119.8960
01/03/2007,112.8660
01/04/2007,131.3260
01/05/2007,146.8130
01/06/2007,144.4700
01/07/2007,142.4260
01/08/2007,138.4320
01/09/2007,127.2900
01/10/2007,112.3160
01/11/2007,116.6660
01/12/2007,125.9950
01/01/2008,130.4280
01/02/2008,124.0360
01/03/2008,136.0210
01/04/2008,143.8900
01/05/2008,153.3010
01/06/2008,140.0660
01/07/2008,127.8160
01/08/2008,116.9710
01/09/2008,117.1650
01/10/2008,131.2050
01/11/2008,138.3460
01/12/2008,153.0720
01/01/2009,171.1860
01/02/2009,173.5020
01/03/2009,176.1670
01/04/2009,175.2220
01/05/2009,175.5730
01/06/2009,169.9320
01/07/2009,156.0650
01/08/2009,144.0090
01/09/2009,138.4220
01/10/2009,129.2200
01/11/2009,129.4420
01/12/2009,140.7610
01/01/2010,148.4990
01/02/2010,151.2010
01/03/2010,155.7970
01/04/2010,156.0650
01/05/2010,164.1630
01/06/2010,163.9180
01/07/2010,161.9640
01/08/2010,167.1290
01/09/2010,169.0760
01/10/2010,166.9620
01/11/2010,159.1480
01/12/2010,157.2630
01/01/2011,165.1190
01/02/2011,156.4680
01/03/2011,146.6390
01/04/2011,149.4280
01/05/2011,163.5040
01/06/2011,172.0580
