Fecha,Dato
01/12/2003,100.0000
01/01/2004,103.1880
01/02/2004,103.6450
01/03/2004,110.1240
01/04/2004,108.3780
01/05/2004,112.9260
01/06/2004,120.7350
01/07/2004,122.7100
01/08/2004,124.5840
01/09/2004,125.3600
01/10/2004,120.8460
01/11/2004,119.7220
01/12/2004,122.0290
01/01/2005,122.7140
01/02/2005,128.0360
01/03/2005,121.0090
01/04/2005,117.6340
01/05/2005,112.5000
01/06/2005,104.8010
01/07/2005,100.1220
01/08/2005,96.2050
01/09/2005,96.1740
01/10/2005,90.5290
01/11/2005,89.8260
01/12/2005,95.3210
01/01/2006,96.7240
01/02/2006,94.4220
01/03/2006,95.1520
01/04/2006,91.6810
01/05/2006,85.8300
01/06/2006,78.0170
01/07/2006,78.2000
01/08/2006,73.1030
01/09/2006,75.8150
01/10/2006,78.2650
01/11/2006,78.7600
01/12/2006,79.4570
01/01/2007,87.5510
01/02/2007,88.9820
01/03/2007,91.8960
01/04/2007,88.3930
01/05/2007,87.4200
01/06/2007,92.2020
01/07/2007,95.9130
01/08/2007,98.6550
01/09/2007,100.5930
01/10/2007,102.2600
01/11/2007,101.5370
01/12/2007,105.1060
01/01/2008,102.9410
01/02/2008,107.7480
01/03/2008,112.6630
01/04/2008,111.5300
01/05/2008,117.4050
01/06/2008,125.6220
01/07/2008,131.1150
01/08/2008,136.4070
01/09/2008,140.7710
01/10/2008,150.6360
01/11/2008,153.3310
01/12/2008,154.6620
01/01/2009,164.0390
01/02/2009,157.6100
01/03/2009,156.3530
01/04/2009,151.6690
01/05/2009,149.2560
01/06/2009,140.3340
01/07/2009,133.3880
01/08/2009,134.5910
01/09/2009,127.9630
01/10/2009,130.2630
01/11/2009,126.1770
01/12/2009,128.4060
01/01/2010,130.4810
01/02/2010,128.3270
01/03/2010,129.9310
01/04/2010,127.4060
01/05/2010,124.6110
01/06/2010,126.0160
01/07/2010,123.7630
01/08/2010,123.4760
01/09/2010,125.0660
01/10/2010,124.1790
01/11/2010,125.9070
01/12/2010,128.1690
01/01/2011,132.1280
01/02/2011,132.2200
01/03/2011,130.9760
01/04/2011,131.8460
01/05/2011,131.1380
01/06/2011,130.5550
