Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.8240
01/02/2004,100.1770
01/03/2004,97.5850
01/04/2004,96.9960
01/05/2004,96.1130
01/06/2004,97.0550
01/07/2004,98.7040
01/08/2004,100.0000
01/09/2004,100.5890
01/10/2004,109.6580
01/11/2004,113.6630
01/12/2004,116.8430
01/01/2005,113.5450
01/02/2005,113.4860
01/03/2005,114.7230
01/04/2005,114.1340
01/05/2005,115.1350
01/06/2005,111.1890
01/07/2005,111.7190
01/08/2005,111.0120
01/09/2005,109.8930
01/10/2005,109.1860
01/11/2005,111.1300
01/12/2005,108.0080
01/01/2006,107.5370
01/02/2006,108.9510
01/03/2006,107.5960
01/04/2006,105.1810
01/05/2006,103.8860
01/06/2006,104.9460
01/07/2006,104.4160
01/08/2006,104.1210
01/09/2006,104.3570
01/10/2006,107.1240
01/11/2006,106.0050
01/12/2006,105.8880
01/01/2007,104.4740
01/02/2007,100.8230
01/03/2007,100.5870
01/04/2007,100.4690
01/05/2007,98.5850
01/06/2007,98.7020
01/07/2007,98.4080
01/08/2007,98.7020
01/09/2007,98.7020
01/10/2007,98.2900
01/11/2007,98.7020
01/12/2007,98.7610
01/01/2008,100.2330
01/02/2008,107.3000
01/03/2008,106.6520
01/04/2008,107.6530
01/05/2008,107.2410
01/06/2008,108.0650
01/07/2008,110.5390
01/08/2008,110.7740
01/09/2008,110.8330
01/10/2008,110.5390
01/11/2008,113.0710
01/12/2008,116.4860
01/01/2009,116.9570
01/02/2009,112.8350
01/03/2009,105.4560
01/04/2009,104.4680
01/05/2009,101.6790
01/06/2009,94.9970
01/07/2009,95.6360
01/08/2009,95.9270
01/09/2009,95.1720
01/10/2009,93.2920
01/11/2009,93.4750
01/12/2009,89.7210
01/01/2010,89.8230
01/02/2010,93.8900
01/03/2010,95.3020
01/04/2010,94.6890
01/05/2010,103.1250
01/06/2010,106.3740
01/07/2010,110.0370
01/08/2010,111.3910
01/09/2010,113.2430
01/10/2010,114.6330
01/11/2010,117.9150
01/12/2010,121.6260
01/01/2011,125.5650
01/02/2011,129.1000
01/03/2011,131.9100
01/04/2011,132.5450
01/05/2011,133.4730
01/06/2011,137.9820
