Fecha,Dato
01/12/2003,100.0000
01/01/2004,105.0840
01/02/2004,107.5420
01/03/2004,108.1200
01/04/2004,107.3090
01/05/2004,106.9780
01/06/2004,107.0310
01/07/2004,107.1380
01/08/2004,108.3220
01/09/2004,110.6630
01/10/2004,112.7080
01/11/2004,113.9740
01/12/2004,115.5140
01/01/2005,116.1900
01/02/2005,116.7390
01/03/2005,117.3700
01/04/2005,117.5900
01/05/2005,117.9710
01/06/2005,117.4700
01/07/2005,117.6290
01/08/2005,117.8600
01/09/2005,118.0710
01/10/2005,118.4260
01/11/2005,118.1490
01/12/2005,119.3580
01/01/2006,119.6670
01/02/2006,119.1760
01/03/2006,118.7310
01/04/2006,117.8760
01/05/2006,116.6120
01/06/2006,115.0980
01/07/2006,114.8380
01/08/2006,115.2280
01/09/2006,116.6680
01/10/2006,118.1790
01/11/2006,118.3540
01/12/2006,118.8610
01/01/2007,119.5530
01/02/2007,120.4140
01/03/2007,120.3330
01/04/2007,120.7490
01/05/2007,121.6200
01/06/2007,121.5480
01/07/2007,121.1350
01/08/2007,121.1260
01/09/2007,121.6830
01/10/2007,121.8950
01/11/2007,121.8860
01/12/2007,122.1860
01/01/2008,122.7270
01/02/2008,122.0490
01/03/2008,122.1470
01/04/2008,122.7660
01/05/2008,123.4680
01/06/2008,123.9370
01/07/2008,124.6120
01/08/2008,126.0800
01/09/2008,127.6820
01/10/2008,129.5670
01/11/2008,133.5690
01/12/2008,135.3110
01/01/2009,136.5020
01/02/2009,137.4250
01/03/2009,137.7610
01/04/2009,137.7510
01/05/2009,137.9890
01/06/2009,137.5420
01/07/2009,137.5060
01/08/2009,137.7470
01/09/2009,138.0940
01/10/2009,138.7600
01/11/2009,138.8390
01/12/2009,139.0120
01/01/2010,139.2630
01/02/2010,139.5520
01/03/2010,139.9280
01/04/2010,139.2850
01/05/2010,139.9720
01/06/2010,140.0730
01/07/2010,139.9570
01/08/2010,139.8970
01/09/2010,140.5390
01/10/2010,141.4480
01/11/2010,141.8090
01/12/2010,142.8020
01/01/2011,143.0570
01/02/2011,143.5660
01/03/2011,143.8950
01/04/2011,145.1130
01/05/2011,145.9670
01/06/2011,145.9190
