Fecha,Dato
01/12/2003,100.0000
01/01/2004,102.0530
01/02/2004,102.7540
01/03/2004,106.0790
01/04/2004,105.6750
01/05/2004,105.3260
01/06/2004,107.3790
01/07/2004,108.6510
01/08/2004,108.9910
01/09/2004,108.5990
01/10/2004,107.5840
01/11/2004,107.9620
01/12/2004,112.2260
01/01/2005,114.3570
01/02/2005,113.4430
01/03/2005,113.8320
01/04/2005,113.1810
01/05/2005,114.4910
01/06/2005,118.5760
01/07/2005,121.3990
01/08/2005,121.9790
01/09/2005,119.5040
01/10/2005,115.8170
01/11/2005,111.8000
01/12/2005,113.2000
01/01/2006,113.7200
01/02/2006,114.6070
01/03/2006,113.6830
01/04/2006,112.2490
01/05/2006,114.8580
01/06/2006,116.3780
01/07/2006,116.3970
01/08/2006,115.5360
01/09/2006,120.3510
01/10/2006,121.7280
01/11/2006,121.5670
01/12/2006,122.6680
01/01/2007,124.8470
01/02/2007,124.6860
01/03/2007,124.8250
01/04/2007,126.3150
01/05/2007,131.6760
01/06/2007,134.9390
01/07/2007,133.8460
01/08/2007,134.3640
01/09/2007,134.8950
01/10/2007,132.9010
01/11/2007,131.7670
01/12/2007,132.1970
01/01/2008,133.3850
01/02/2008,132.8930
01/03/2008,137.5040
01/04/2008,140.6050
01/05/2008,145.4280
01/06/2008,145.7460
01/07/2008,144.6110
01/08/2008,142.1690
01/09/2008,141.8980
01/10/2008,144.1160
01/11/2008,142.6720
01/12/2008,145.6330
01/01/2009,150.3330
01/02/2009,155.2840
01/03/2009,162.0550
01/04/2009,162.6240
01/05/2009,162.1010
01/06/2009,162.7210
01/07/2009,160.8700
01/08/2009,158.2580
01/09/2009,158.1180
01/10/2009,156.5850
01/11/2009,154.2120
01/12/2009,155.8920
01/01/2010,158.6130
01/02/2010,158.6540
01/03/2010,159.1310
01/04/2010,158.7370
01/05/2010,161.8420
01/06/2010,162.4780
01/07/2010,161.3200
01/08/2010,163.7960
01/09/2010,163.8290
01/10/2010,162.5160
01/11/2010,163.2610
01/12/2010,164.3340
01/01/2011,164.3950
01/02/2011,163.7910
01/03/2011,163.1890
01/04/2011,164.4250
01/05/2011,165.7780
01/06/2011,166.7120
