Fecha,Dato
01/12/2003,100.0000
01/01/2004,101.6500
01/02/2004,102.3040
01/03/2004,103.2040
01/04/2004,103.4090
01/05/2004,104.6510
01/06/2004,110.3770
01/07/2004,112.3010
01/08/2004,113.8370
01/09/2004,116.4060
01/10/2004,117.7390
01/11/2004,118.0160
01/12/2004,119.7680
01/01/2005,120.1720
01/02/2005,120.4830
01/03/2005,120.3200
01/04/2005,118.8040
01/05/2005,118.3200
01/06/2005,117.3880
01/07/2005,118.4390
01/08/2005,118.2870
01/09/2005,118.9880
01/10/2005,118.1030
01/11/2005,118.4140
01/12/2005,118.3630
01/01/2006,119.4900
01/02/2006,118.5580
01/03/2006,117.7710
01/04/2006,117.0200
01/05/2006,116.9910
01/06/2006,116.0300
01/07/2006,116.7020
01/08/2006,118.0160
01/09/2006,118.6480
01/10/2006,118.6840
01/11/2006,118.2550
01/12/2006,118.4790
01/01/2007,118.2010
01/02/2007,117.9910
01/03/2007,117.4780
01/04/2007,117.8650
01/05/2007,117.7200
01/06/2007,118.0480
01/07/2007,118.4810
01/08/2007,119.0500
01/09/2007,119.4440
01/10/2007,119.6980
01/11/2007,118.9840
01/12/2007,120.4430
01/01/2008,120.3670
01/02/2008,119.5130
01/03/2008,119.5020
01/04/2008,119.6250
01/05/2008,121.2720
01/06/2008,125.2690
01/07/2008,127.5670
01/08/2008,130.8430
01/09/2008,131.2850
01/10/2008,131.6430
01/11/2008,132.0600
01/12/2008,134.7390
01/01/2009,135.6540
01/02/2009,137.6130
01/03/2009,138.0290
01/04/2009,139.3430
01/05/2009,137.5400
01/06/2009,137.0260
01/07/2009,135.6910
01/08/2009,135.6440
01/09/2009,135.4540
01/10/2009,134.7130
01/11/2009,135.2710
01/12/2009,137.6740
01/01/2010,139.7880
01/02/2010,140.4920
01/03/2010,138.9100
01/04/2010,138.0660
01/05/2010,138.5800
01/06/2010,141.4890
01/07/2010,144.0830
01/08/2010,144.8330
01/09/2010,145.7220
01/10/2010,147.2640
01/11/2010,149.0550
01/12/2010,149.3040
01/01/2011,149.0200
01/02/2011,149.4610
01/03/2011,148.4450
01/04/2011,147.5910
01/05/2011,147.4350
01/06/2011,146.8840
