Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,100.5510
01/03/2004,101.7740
01/04/2004,101.7740
01/05/2004,101.7740
01/06/2004,101.7740
01/07/2004,101.7740
01/08/2004,102.5100
01/09/2004,102.5100
01/10/2004,106.2680
01/11/2004,106.5330
01/12/2004,107.0450
01/01/2005,107.7820
01/02/2005,107.7820
01/03/2005,107.7820
01/04/2005,107.7820
01/05/2005,107.7820
01/06/2005,107.7820
01/07/2005,107.7820
01/08/2005,107.7820
01/09/2005,113.6560
01/10/2005,113.9590
01/11/2005,113.9590
01/12/2005,113.9590
01/01/2006,113.9590
01/02/2006,113.9590
01/03/2006,113.9590
01/04/2006,113.9590
01/05/2006,113.9590
01/06/2006,113.9590
01/07/2006,113.9590
01/08/2006,113.9590
01/09/2006,113.9590
01/10/2006,118.1730
01/11/2006,119.7180
01/12/2006,119.7180
01/01/2007,119.7180
01/02/2007,119.7180
01/03/2007,119.8110
01/04/2007,119.8110
01/05/2007,119.8110
01/06/2007,124.0740
01/07/2007,125.9310
01/08/2007,126.1530
01/09/2007,128.8320
01/10/2007,131.4780
01/11/2007,131.4780
01/12/2007,131.4780
01/01/2008,132.5000
01/02/2008,132.5000
01/03/2008,132.5000
01/04/2008,132.5000
01/05/2008,132.5000
01/06/2008,132.5000
01/07/2008,132.5000
01/08/2008,135.4800
01/09/2008,136.5910
01/10/2008,137.2250
01/11/2008,137.2250
01/12/2008,138.7560
01/01/2009,141.3910
01/02/2009,142.0540
01/03/2009,142.0540
01/04/2009,142.0540
01/05/2009,142.0540
01/06/2009,141.9410
01/07/2009,141.9410
01/08/2009,141.9410
01/09/2009,141.9410
01/10/2009,141.9410
01/11/2009,141.9410
01/12/2009,142.8200
01/01/2010,144.5350
01/02/2010,144.5350
01/03/2010,144.5350
01/04/2010,144.5350
01/05/2010,144.5350
01/06/2010,144.5350
01/07/2010,144.5350
01/08/2010,144.5350
01/09/2010,144.5350
01/10/2010,144.8740
01/11/2010,145.0040
01/12/2010,145.5170
01/01/2011,145.9190
01/02/2011,146.2870
01/03/2011,146.5670
01/04/2011,146.5670
01/05/2011,146.5670
01/06/2011,147.9410
