Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,100.0000
01/03/2004,100.0000
01/04/2004,100.0000
01/05/2004,100.0000
01/06/2004,100.0000
01/07/2004,100.0000
01/08/2004,100.0000
01/09/2004,100.0000
01/10/2004,100.0000
01/11/2004,100.0000
01/12/2004,100.0000
01/01/2005,100.0000
01/02/2005,102.5770
01/03/2005,102.5770
01/04/2005,102.5770
01/05/2005,102.5770
01/06/2005,102.5770
01/07/2005,102.5770
01/08/2005,102.5770
01/09/2005,102.5770
01/10/2005,102.5770
01/11/2005,102.5770
01/12/2005,102.5770
01/01/2006,105.0920
01/02/2006,106.1390
01/03/2006,108.8610
01/04/2006,108.8610
01/05/2006,108.8610
01/06/2006,108.8610
01/07/2006,108.8610
01/08/2006,108.8610
01/09/2006,108.8610
01/10/2006,108.8610
01/11/2006,108.8610
01/12/2006,108.8610
01/01/2007,108.8610
01/02/2007,108.8610
01/03/2007,112.1280
01/04/2007,112.1280
01/05/2007,112.1280
01/06/2007,112.1280
01/07/2007,112.1280
01/08/2007,112.1280
01/09/2007,112.1280
01/10/2007,112.1280
01/11/2007,113.0710
01/12/2007,113.8970
01/01/2008,113.8970
01/02/2008,115.9660
01/03/2008,120.2310
01/04/2008,120.2310
01/05/2008,128.5060
01/06/2008,128.5060
01/07/2008,128.5060
01/08/2008,128.5060
01/09/2008,128.5060
01/10/2008,128.5060
01/11/2008,128.5060
01/12/2008,128.5060
01/01/2009,128.5060
01/02/2009,128.5060
01/03/2009,128.5060
01/04/2009,130.5890
01/05/2009,130.5890
01/06/2009,133.5240
01/07/2009,138.1970
01/08/2009,141.9830
01/09/2009,140.7770
01/10/2009,138.6930
01/11/2009,138.3440
01/12/2009,139.0030
01/01/2010,138.6800
01/02/2010,140.8800
01/03/2010,141.7530
01/04/2010,141.4290
01/05/2010,139.7980
01/06/2010,138.1060
01/07/2010,138.0420
01/08/2010,139.3610
01/09/2010,140.5170
01/10/2010,139.8610
01/11/2010,137.6210
01/12/2010,140.2170
01/01/2011,140.2170
01/02/2011,140.2170
01/03/2011,141.5490
01/04/2011,141.5490
01/05/2011,144.3230
01/06/2011,144.3230
