Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,101.6090
01/03/2004,104.2180
01/04/2004,104.2180
01/05/2004,104.2180
01/06/2004,109.4220
01/07/2004,109.4220
01/08/2004,109.4220
01/09/2004,109.4220
01/10/2004,108.7700
01/11/2004,108.7700
01/12/2004,108.7700
01/01/2005,108.7700
01/02/2005,108.7700
01/03/2005,108.7700
01/04/2005,108.7700
01/05/2005,108.7700
01/06/2005,108.7700
01/07/2005,108.7700
01/08/2005,109.0940
01/09/2005,109.0940
01/10/2005,109.4230
01/11/2005,109.4230
01/12/2005,109.7130
01/01/2006,109.7130
01/02/2006,109.7130
01/03/2006,112.1810
01/04/2006,112.5630
01/05/2006,113.0840
01/06/2006,115.1650
01/07/2006,115.8910
01/08/2006,115.8910
01/09/2006,116.6170
01/10/2006,116.6170
01/11/2006,126.0840
01/12/2006,126.0840
01/01/2007,126.8110
01/02/2007,126.8110
01/03/2007,127.9390
01/04/2007,127.9390
01/05/2007,127.9390
01/06/2007,131.4100
01/07/2007,130.2500
01/08/2007,132.0500
01/09/2007,156.7170
01/10/2007,161.7310
01/11/2007,171.8090
01/12/2007,173.7980
01/01/2008,180.6340
01/02/2008,182.7190
01/03/2008,186.7890
01/04/2008,201.5130
01/05/2008,212.1080
01/06/2008,213.2410
01/07/2008,198.2590
01/08/2008,197.8290
01/09/2008,188.8630
01/10/2008,180.1060
01/11/2008,180.8850
01/12/2008,186.4430
01/01/2009,185.7240
01/02/2009,185.9840
01/03/2009,187.9720
01/04/2009,189.2290
01/05/2009,188.1020
01/06/2009,187.5420
01/07/2009,187.0770
01/08/2009,184.7590
01/09/2009,183.7910
01/10/2009,183.3560
01/11/2009,183.3300
01/12/2009,183.6730
01/01/2010,182.4110
01/02/2010,180.8230
01/03/2010,180.5910
01/04/2010,180.6320
01/05/2010,178.6770
01/06/2010,177.7030
01/07/2010,174.2690
01/08/2010,177.6280
01/09/2010,179.5550
01/10/2010,184.5840
01/11/2010,189.5030
01/12/2010,189.4970
01/01/2011,191.7300
01/02/2011,197.4110
01/03/2011,199.1510
01/04/2011,199.3010
01/05/2011,199.9720
01/06/2011,199.2600
