Fecha,Dato
01/12/2003,100.0000
01/01/2004,102.0310
01/02/2004,102.6880
01/03/2004,105.7010
01/04/2004,106.4860
01/05/2004,106.8450
01/06/2004,108.2360
01/07/2004,108.9780
01/08/2004,109.6440
01/09/2004,110.3270
01/10/2004,111.4280
01/11/2004,111.5040
01/12/2004,112.0420
01/01/2005,112.7330
01/02/2005,114.1070
01/03/2005,114.2180
01/04/2005,114.3210
01/05/2005,114.6450
01/06/2005,115.2600
01/07/2005,115.7200
01/08/2005,116.2580
01/09/2005,115.4470
01/10/2005,115.1660
01/11/2005,115.1310
01/12/2005,116.4290
01/01/2006,117.8710
01/02/2006,118.3230
01/03/2006,119.3130
01/04/2006,119.7660
01/05/2006,119.7910
01/06/2006,121.6690
01/07/2006,122.0100
01/08/2006,122.9230
01/09/2006,123.7600
01/10/2006,124.3830
01/11/2006,125.5260
01/12/2006,128.1970
01/01/2007,129.5460
01/02/2007,130.4250
01/03/2007,130.5870
01/04/2007,130.8430
01/05/2007,131.4920
01/06/2007,131.6620
01/07/2007,132.2340
01/08/2007,132.7800
01/09/2007,134.9310
01/10/2007,137.4320
01/11/2007,137.8750
01/12/2007,139.1730
01/01/2008,139.6330
01/02/2008,140.5470
01/03/2008,142.2620
01/04/2008,146.6830
01/05/2008,148.6460
01/06/2008,148.6800
01/07/2008,148.9270
01/08/2008,149.1830
01/09/2008,149.5250
01/10/2008,149.6610
01/11/2008,150.3530
01/12/2008,149.6780
01/01/2009,150.5060
01/02/2009,151.1550
01/03/2009,152.0510
01/04/2009,152.7250
01/05/2009,153.0150
01/06/2009,153.0490
01/07/2009,153.0750
01/08/2009,152.7930
01/09/2009,154.1590
01/10/2009,155.0950
01/11/2009,154.8940
01/12/2009,155.1050
01/01/2010,156.0280
01/02/2010,156.7090
01/03/2010,157.0620
01/04/2010,157.9490
01/05/2010,158.0730
01/06/2010,157.0900
01/07/2010,157.2450
01/08/2010,157.1800
01/09/2010,158.5120
01/10/2010,161.1240
01/11/2010,162.5790
01/12/2010,165.5660
01/01/2011,166.6730
01/02/2011,167.8650
01/03/2011,168.6820
01/04/2011,169.6190
01/05/2011,172.0630
01/06/2011,174.6050
