Fecha,Dato
01/12/2003,100.0000
01/01/2004,101.0480
01/02/2004,101.9120
01/03/2004,102.6490
01/04/2004,102.6070
01/05/2004,102.7500
01/06/2004,103.1440
01/07/2004,102.9930
01/08/2004,102.6490
01/09/2004,103.3530
01/10/2004,103.7560
01/11/2004,103.5290
01/12/2004,103.8310
01/01/2005,103.8980
01/02/2005,104.2670
01/03/2005,104.2750
01/04/2005,104.3840
01/05/2005,104.5770
01/06/2005,105.1220
01/07/2005,105.4910
01/08/2005,105.3310
01/09/2005,105.3730
01/10/2005,104.9040
01/11/2005,105.5410
01/12/2005,105.4150
01/01/2006,105.6330
01/02/2006,105.7080
01/03/2006,106.4540
01/04/2006,106.0770
01/05/2006,107.1750
01/06/2006,109.0450
01/07/2006,109.5390
01/08/2006,110.5790
01/09/2006,111.7860
01/10/2006,111.9450
01/11/2006,113.0520
01/12/2006,114.8040
01/01/2007,116.5900
01/02/2007,116.7580
01/03/2007,116.8920
01/04/2007,117.0260
01/05/2007,117.2940
01/06/2007,116.9160
01/07/2007,117.1340
01/08/2007,119.6920
01/09/2007,123.7830
01/10/2007,128.1760
01/11/2007,129.4920
01/12/2007,133.7430
01/01/2008,134.9000
01/02/2008,134.2290
01/03/2008,135.3020
01/04/2008,136.8030
01/05/2008,139.9300
01/06/2008,139.3350
01/07/2008,139.6790
01/08/2008,140.3240
01/09/2008,140.8440
01/10/2008,140.8610
01/11/2008,140.0140
01/12/2008,140.2990
01/01/2009,140.8100
01/02/2009,141.4970
01/03/2009,142.2850
01/04/2009,142.4200
01/05/2009,142.6540
01/06/2009,142.7210
01/07/2009,142.8810
01/08/2009,143.2240
01/09/2009,143.2750
01/10/2009,142.9910
01/11/2009,143.3260
01/12/2009,143.4740
01/01/2010,144.3000
01/02/2010,145.0440
01/03/2010,144.7900
01/04/2010,144.6180
01/05/2010,144.7300
01/06/2010,145.5140
01/07/2010,144.7980
01/08/2010,144.8190
01/09/2010,145.4550
01/10/2010,146.7960
01/11/2010,148.6160
01/12/2010,149.7000
01/01/2011,150.3580
01/02/2011,151.5750
01/03/2011,151.5280
01/04/2011,152.8730
01/05/2011,153.4090
01/06/2011,153.5690
