Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,100.0000
01/03/2004,100.0000
01/04/2004,100.0000
01/05/2004,100.0000
01/06/2004,100.0000
01/07/2004,100.0000
01/08/2004,100.0000
01/09/2004,100.0000
01/10/2004,100.0000
01/11/2004,100.0000
01/12/2004,100.0000
01/01/2005,100.0000
01/02/2005,100.0000
01/03/2005,100.0000
01/04/2005,107.2160
01/05/2005,107.2160
01/06/2005,107.2160
01/07/2005,107.2160
01/08/2005,107.2160
01/09/2005,107.2160
01/10/2005,107.2160
01/11/2005,107.2160
01/12/2005,107.2160
01/01/2006,107.2160
01/02/2006,107.2160
01/03/2006,107.2160
01/04/2006,109.0810
01/05/2006,109.8690
01/06/2006,110.5630
01/07/2006,111.6040
01/08/2006,111.6040
01/09/2006,111.6040
01/10/2006,111.6040
01/11/2006,111.6040
01/12/2006,111.6040
01/01/2007,113.3930
01/02/2007,116.5400
01/03/2007,118.7840
01/04/2007,118.7840
01/05/2007,125.0430
01/06/2007,125.0430
01/07/2007,125.0430
01/08/2007,128.3160
01/09/2007,129.5810
01/10/2007,129.8720
01/11/2007,129.9130
01/12/2007,138.1020
01/01/2008,138.5960
01/02/2008,138.7620
01/03/2008,141.8520
01/04/2008,151.9980
01/05/2008,153.8210
01/06/2008,154.0910
01/07/2008,154.3190
01/08/2008,154.4020
01/09/2008,154.4020
01/10/2008,154.4640
01/11/2008,154.6300
01/12/2008,154.6920
01/01/2009,154.8580
01/02/2009,155.7700
01/03/2009,155.9770
01/04/2009,165.0050
01/05/2009,165.0050
01/06/2009,165.2960
01/07/2009,165.4210
01/08/2009,165.4210
01/09/2009,165.3620
01/10/2009,164.8450
01/11/2009,165.6890
01/12/2009,165.5510
01/01/2010,165.5710
01/02/2010,166.8240
01/03/2010,165.0690
01/04/2010,166.2250
01/05/2010,166.2480
01/06/2010,165.7260
01/07/2010,165.8100
01/08/2010,165.7800
01/09/2010,165.7660
01/10/2010,165.7140
01/11/2010,166.5080
01/12/2010,166.7190
01/01/2011,168.0360
01/02/2011,170.1770
01/03/2011,170.6310
01/04/2011,171.5250
01/05/2011,172.7030
01/06/2011,172.7840
