Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,100.0000
01/03/2004,100.0000
01/04/2004,100.0000
01/05/2004,100.0000
01/06/2004,100.0000
01/07/2004,104.4390
01/08/2004,105.8880
01/09/2004,106.1380
01/10/2004,107.0080
01/11/2004,107.3880
01/12/2004,107.3880
01/01/2005,111.9280
01/02/2005,111.9280
01/03/2005,111.1980
01/04/2005,111.1980
01/05/2005,111.3280
01/06/2005,112.0780
01/07/2005,112.0780
01/08/2005,112.0780
01/09/2005,112.1180
01/10/2005,111.9480
01/11/2005,113.2180
01/12/2005,114.2870
01/01/2006,114.2870
01/02/2006,112.9370
01/03/2006,116.0270
01/04/2006,116.0270
01/05/2006,116.6470
01/06/2006,116.1670
01/07/2006,116.1670
01/08/2006,115.7370
01/09/2006,117.0170
01/10/2006,118.5870
01/11/2006,120.4860
01/12/2006,127.7860
01/01/2007,136.4260
01/02/2007,136.2060
01/03/2007,136.2060
01/04/2007,137.2050
01/05/2007,137.2050
01/06/2007,137.1050
01/07/2007,137.4150
01/08/2007,137.4150
01/09/2007,137.4150
01/10/2007,137.4050
01/11/2007,137.3350
01/12/2007,137.1850
01/01/2008,137.1950
01/02/2008,136.6950
01/03/2008,136.6450
01/04/2008,136.7250
01/05/2008,136.5550
01/06/2008,136.4250
01/07/2008,136.7150
01/08/2008,137.3150
01/09/2008,137.7150
01/10/2008,138.1540
01/11/2008,138.4640
01/12/2008,139.0140
01/01/2009,139.0140
01/02/2009,140.7040
01/03/2009,144.5540
01/04/2009,149.5840
01/05/2009,150.2230
01/06/2009,150.5530
01/07/2009,150.5530
01/08/2009,150.5430
01/09/2009,151.5530
01/10/2009,154.3200
01/11/2009,161.7620
01/12/2009,165.4020
01/01/2010,168.0400
01/02/2010,171.4090
01/03/2010,172.3290
01/04/2010,171.0040
01/05/2010,171.2810
01/06/2010,171.6060
01/07/2010,171.6060
01/08/2010,171.2620
01/09/2010,171.2620
01/10/2010,171.1780
01/11/2010,181.8730
01/12/2010,185.4300
01/01/2011,183.9260
01/02/2011,183.9260
01/03/2011,185.5050
01/04/2011,198.2410
01/05/2011,207.5800
01/06/2011,210.8040
