Fecha,Dato
01/12/2003,100.0000
01/01/2004,103.9410
01/02/2004,105.3950
01/03/2004,106.0700
01/04/2004,109.7800
01/05/2004,113.6340
01/06/2004,115.2870
01/07/2004,115.4920
01/08/2004,114.4660
01/09/2004,112.5340
01/10/2004,109.3720
01/11/2004,106.3420
01/12/2004,105.5770
01/01/2005,105.2980
01/02/2005,103.8630
01/03/2005,103.9700
01/04/2005,104.4580
01/05/2005,104.5280
01/06/2005,104.5640
01/07/2005,104.8450
01/08/2005,105.0250
01/09/2005,105.3280
01/10/2005,105.3280
01/11/2005,104.4630
01/12/2005,104.2500
01/01/2006,104.8290
01/02/2006,104.8290
01/03/2006,105.1320
01/04/2006,107.2000
01/05/2006,108.2580
01/06/2006,109.6510
01/07/2006,110.6870
01/08/2006,110.8440
01/09/2006,110.6470
01/10/2006,110.6670
01/11/2006,112.3550
01/12/2006,116.3990
01/01/2007,123.7690
01/02/2007,128.0920
01/03/2007,128.0920
01/04/2007,129.8940
01/05/2007,130.6660
01/06/2007,130.6820
01/07/2007,131.4020
01/08/2007,130.5030
01/09/2007,129.4180
01/10/2007,132.2150
01/11/2007,134.7510
01/12/2007,135.7920
01/01/2008,133.1610
01/02/2008,140.2370
01/03/2008,144.3840
01/04/2008,145.8850
01/05/2008,152.1810
01/06/2008,154.4470
01/07/2008,156.1890
01/08/2008,157.0710
01/09/2008,156.3670
01/10/2008,156.8020
01/11/2008,158.3440
01/12/2008,159.1220
01/01/2009,161.8960
01/02/2009,165.0810
01/03/2009,165.3030
01/04/2009,165.0370
01/05/2009,165.0180
01/06/2009,167.6040
01/07/2009,168.5410
01/08/2009,168.5860
01/09/2009,167.3580
01/10/2009,167.1220
01/11/2009,167.1220
01/12/2009,166.9660
01/01/2010,166.9180
01/02/2010,166.2180
01/03/2010,164.4580
01/04/2010,163.0670
01/05/2010,163.0670
01/06/2010,160.8680
01/07/2010,159.5440
01/08/2010,159.5070
01/09/2010,159.4920
01/10/2010,162.9220
01/11/2010,163.9530
01/12/2010,165.9730
01/01/2011,169.8180
01/02/2011,174.4610
01/03/2011,183.4100
01/04/2011,186.5430
01/05/2011,189.6460
01/06/2011,189.7630
