Fecha,Dato
01/12/2003,100.0000
01/01/2004,103.4930
01/02/2004,105.5110
01/03/2004,106.4730
01/04/2004,108.5850
01/05/2004,114.2070
01/06/2004,117.5330
01/07/2004,117.8770
01/08/2004,116.7420
01/09/2004,115.3120
01/10/2004,111.0250
01/11/2004,108.8750
01/12/2004,108.1240
01/01/2005,107.7940
01/02/2005,106.4640
01/03/2005,107.0860
01/04/2005,107.3310
01/05/2005,107.4170
01/06/2005,107.6100
01/07/2005,107.9890
01/08/2005,108.0960
01/09/2005,109.4790
01/10/2005,109.4790
01/11/2005,109.2470
01/12/2005,109.2600
01/01/2006,109.2850
01/02/2006,109.7680
01/03/2006,110.8950
01/04/2006,114.6600
01/05/2006,116.1190
01/06/2006,118.0840
01/07/2006,118.5800
01/08/2006,118.6530
01/09/2006,118.6530
01/10/2006,119.3090
01/11/2006,120.1600
01/12/2006,122.3350
01/01/2007,128.4490
01/02/2007,133.4760
01/03/2007,133.4760
01/04/2007,136.0550
01/05/2007,137.1600
01/06/2007,137.6700
01/07/2007,138.0210
01/08/2007,137.0110
01/09/2007,136.8560
01/10/2007,138.8650
01/11/2007,140.1570
01/12/2007,141.0700
01/01/2008,138.7480
01/02/2008,143.7070
01/03/2008,146.0350
01/04/2008,148.8200
01/05/2008,153.4880
01/06/2008,155.2970
01/07/2008,156.5560
01/08/2008,156.5880
01/09/2008,159.4260
01/10/2008,160.4400
01/11/2008,161.9590
01/12/2008,162.9140
01/01/2009,164.3150
01/02/2009,166.1670
01/03/2009,166.3910
01/04/2009,166.3760
01/05/2009,166.3750
01/06/2009,168.1030
01/07/2009,169.2160
01/08/2009,169.3950
01/09/2009,168.4850
01/10/2009,166.2060
01/11/2009,166.2060
01/12/2009,166.0550
01/01/2010,166.0080
01/02/2010,165.4460
01/03/2010,162.4830
01/04/2010,159.5200
01/05/2010,159.5200
01/06/2010,157.4710
01/07/2010,156.8680
01/08/2010,156.7640
01/09/2010,156.7190
01/10/2010,158.8810
01/11/2010,159.0560
01/12/2010,159.4080
01/01/2011,161.8690
01/02/2011,165.4820
01/03/2011,172.3380
01/04/2011,175.6450
01/05/2011,178.2840
01/06/2011,178.2840
