Fecha,Dato
01/12/2003,100.0000
01/01/2004,102.4740
01/02/2004,101.1120
01/03/2004,101.1120
01/04/2004,101.1120
01/05/2004,101.1120
01/06/2004,101.1120
01/07/2004,101.1120
01/08/2004,101.7700
01/09/2004,101.9340
01/10/2004,101.9340
01/11/2004,101.9340
01/12/2004,101.9340
01/01/2005,101.9340
01/02/2005,101.9340
01/03/2005,102.5750
01/04/2005,102.7670
01/05/2005,102.7670
01/06/2005,102.7670
01/07/2005,102.7670
01/08/2005,102.7670
01/09/2005,102.7670
01/10/2005,102.7670
01/11/2005,102.4080
01/12/2005,106.6120
01/01/2006,106.6120
01/02/2006,106.6120
01/03/2006,106.6120
01/04/2006,106.6120
01/05/2006,111.9580
01/06/2006,111.9580
01/07/2006,111.9580
01/08/2006,111.9580
01/09/2006,111.9580
01/10/2006,111.9580
01/11/2006,111.9580
01/12/2006,111.9580
01/01/2007,107.6910
01/02/2007,107.5430
01/03/2007,107.5430
01/04/2007,109.6380
01/05/2007,110.5350
01/06/2007,110.5350
01/07/2007,107.2990
01/08/2007,107.2990
01/09/2007,107.2990
01/10/2007,107.2990
01/11/2007,107.2990
01/12/2007,107.2990
01/01/2008,110.9580
01/02/2008,110.9580
01/03/2008,110.9580
01/04/2008,110.9580
01/05/2008,117.9890
01/06/2008,117.9890
01/07/2008,129.3350
01/08/2008,130.0590
01/09/2008,133.6840
01/10/2008,133.6840
01/11/2008,139.0070
01/12/2008,139.0070
01/01/2009,139.0070
01/02/2009,140.0870
01/03/2009,140.4800
01/04/2009,143.8940
01/05/2009,143.9600
01/06/2009,143.9600
01/07/2009,146.7460
01/08/2009,147.5930
01/09/2009,147.5930
01/10/2009,149.1050
01/11/2009,149.1050
01/12/2009,149.1050
01/01/2010,148.9120
01/02/2010,148.9120
01/03/2010,148.9120
01/04/2010,148.9120
01/05/2010,148.7600
01/06/2010,148.7600
01/07/2010,148.7600
01/08/2010,148.7600
01/09/2010,148.7600
01/10/2010,148.7600
01/11/2010,148.7600
01/12/2010,148.7600
01/01/2011,148.7600
01/02/2011,149.0370
01/03/2011,151.2790
01/04/2011,153.2490
01/05/2011,155.3260
01/06/2011,155.3260
