Fecha,Dato
01/12/2003,100.0000
01/01/2004,101.9600
01/02/2004,106.2150
01/03/2004,106.2150
01/04/2004,106.9150
01/05/2004,111.5040
01/06/2004,114.6210
01/07/2004,114.6210
01/08/2004,115.9640
01/09/2004,115.9640
01/10/2004,120.7000
01/11/2004,120.7040
01/12/2004,122.9100
01/01/2005,122.0100
01/02/2005,122.0100
01/03/2005,126.7930
01/04/2005,131.1500
01/05/2005,129.0700
01/06/2005,129.0700
01/07/2005,129.1700
01/08/2005,129.3500
01/09/2005,129.0230
01/10/2005,128.5510
01/11/2005,129.0670
01/12/2005,128.9440
01/01/2006,130.6870
01/02/2006,128.8560
01/03/2006,128.9270
01/04/2006,128.9670
01/05/2006,129.0340
01/06/2006,129.0130
01/07/2006,129.5710
01/08/2006,130.3470
01/09/2006,131.1300
01/10/2006,130.8910
01/11/2006,131.1950
01/12/2006,130.5210
01/01/2007,130.2990
01/02/2007,130.2990
01/03/2007,130.2990
01/04/2007,130.2990
01/05/2007,129.4050
01/06/2007,129.4050
01/07/2007,129.7970
01/08/2007,128.2280
01/09/2007,131.2130
01/10/2007,130.8570
01/11/2007,131.3420
01/12/2007,133.0060
01/01/2008,134.4750
01/02/2008,137.7860
01/03/2008,137.7860
01/04/2008,137.7860
01/05/2008,137.7860
01/06/2008,137.7860
01/07/2008,137.7860
01/08/2008,139.4810
01/09/2008,140.0520
01/10/2008,148.4630
01/11/2008,148.4630
01/12/2008,148.4630
01/01/2009,148.4630
01/02/2009,148.4630
01/03/2009,158.4850
01/04/2009,161.8840
01/05/2009,161.8840
01/06/2009,161.8840
01/07/2009,160.8220
01/08/2009,160.7720
01/09/2009,160.9980
01/10/2009,169.0200
01/11/2009,167.2660
01/12/2009,166.9410
01/01/2010,170.8410
01/02/2010,172.1980
01/03/2010,171.8430
01/04/2010,171.8920
01/05/2010,172.1460
01/06/2010,172.0510
01/07/2010,172.5410
01/08/2010,171.9570
01/09/2010,173.6800
01/10/2010,173.6800
01/11/2010,173.7620
01/12/2010,173.7620
01/01/2011,173.8020
01/02/2011,175.1860
01/03/2011,176.3980
01/04/2011,174.7450
01/05/2011,182.4850
01/06/2011,184.0350
