Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.2090
01/02/2004,100.2380
01/03/2004,101.2530
01/04/2004,105.0090
01/05/2004,105.6500
01/06/2004,105.7370
01/07/2004,105.6860
01/08/2004,105.8230
01/09/2004,105.8230
01/10/2004,106.7160
01/11/2004,106.7160
01/12/2004,106.7160
01/01/2005,106.8100
01/02/2005,107.0330
01/03/2005,107.6950
01/04/2005,107.6950
01/05/2005,107.6950
01/06/2005,107.6950
01/07/2005,107.6950
01/08/2005,107.6950
01/09/2005,107.8180
01/10/2005,109.4810
01/11/2005,110.9050
01/12/2005,111.1710
01/01/2006,110.5300
01/02/2006,112.0640
01/03/2006,111.5740
01/04/2006,112.8720
01/05/2006,114.7730
01/06/2006,114.7730
01/07/2006,114.9970
01/08/2006,115.4790
01/09/2006,115.7600
01/10/2006,116.0700
01/11/2006,116.0620
01/12/2006,116.0620
01/01/2007,115.8100
01/02/2007,115.8100
01/03/2007,115.8100
01/04/2007,117.5960
01/05/2007,119.0310
01/06/2007,119.5420
01/07/2007,120.0320
01/08/2007,120.0320
01/09/2007,120.6770
01/10/2007,120.6350
01/11/2007,120.6150
01/12/2007,120.6150
01/01/2008,119.2650
01/02/2008,120.2930
01/03/2008,122.5340
01/04/2008,123.3850
01/05/2008,124.0080
01/06/2008,124.8070
01/07/2008,124.6310
01/08/2008,124.9630
01/09/2008,125.8350
01/10/2008,126.1670
01/11/2008,125.5860
01/12/2008,125.7720
01/01/2009,125.9120
01/02/2009,126.0920
01/03/2009,127.4120
01/04/2009,129.1220
01/05/2009,129.1420
01/06/2009,129.6320
01/07/2009,130.5630
01/08/2009,130.7730
01/09/2009,130.7730
01/10/2009,131.3550
01/11/2009,131.3550
01/12/2009,131.1230
01/01/2010,131.3100
01/02/2010,131.7220
01/03/2010,132.5800
01/04/2010,133.4390
01/05/2010,134.2990
01/06/2010,134.3190
01/07/2010,134.7770
01/08/2010,135.0930
01/09/2010,136.1490
01/10/2010,136.1490
01/11/2010,136.5330
01/12/2010,136.4820
01/01/2011,136.8960
01/02/2011,137.7550
01/03/2011,140.6220
01/04/2011,141.1300
01/05/2011,141.0890
01/06/2011,141.2580
