Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,100.0000
01/03/2004,100.0000
01/04/2004,100.0000
01/05/2004,100.0000
01/06/2004,100.0000
01/07/2004,100.0000
01/08/2004,100.0000
01/09/2004,100.0000
01/10/2004,100.0000
01/11/2004,100.0000
01/12/2004,100.0000
01/01/2005,100.0000
01/02/2005,100.0000
01/03/2005,100.0000
01/04/2005,100.0000
01/05/2005,100.0000
01/06/2005,100.0000
01/07/2005,100.0000
01/08/2005,100.0000
01/09/2005,100.0000
01/10/2005,100.0000
01/11/2005,101.3330
01/12/2005,104.4740
01/01/2006,104.4740
01/02/2006,104.4740
01/03/2006,104.4740
01/04/2006,104.4740
01/05/2006,106.5720
01/06/2006,111.2500
01/07/2006,111.2790
01/08/2006,111.2920
01/09/2006,111.2920
01/10/2006,111.2920
01/11/2006,111.2920
01/12/2006,111.2920
01/01/2007,111.2920
01/02/2007,111.2920
01/03/2007,111.2920
01/04/2007,111.2920
01/05/2007,111.2920
01/06/2007,115.3950
01/07/2007,115.7190
01/08/2007,121.0880
01/09/2007,121.0880
01/10/2007,121.5150
01/11/2007,121.5150
01/12/2007,122.1820
01/01/2008,122.3070
01/02/2008,122.6490
01/03/2008,122.6490
01/04/2008,122.6490
01/05/2008,134.8990
01/06/2008,134.8990
01/07/2008,135.2400
01/08/2008,135.2400
01/09/2008,135.2400
01/10/2008,135.2400
01/11/2008,136.9770
01/12/2008,138.3100
01/01/2009,139.0670
01/02/2009,139.0670
01/03/2009,139.1870
01/04/2009,145.5240
01/05/2009,145.5240
01/06/2009,145.5240
01/07/2009,148.1680
01/08/2009,148.1680
01/09/2009,148.1680
01/10/2009,148.1680
01/11/2009,148.1680
01/12/2009,148.1680
01/01/2010,148.1680
01/02/2010,148.1680
01/03/2010,148.1680
01/04/2010,148.5370
01/05/2010,148.6460
01/06/2010,149.4480
01/07/2010,150.2130
01/08/2010,150.2130
01/09/2010,150.2130
01/10/2010,150.2130
01/11/2010,150.3890
01/12/2010,150.6730
01/01/2011,152.3800
01/02/2011,152.5600
01/03/2011,152.5600
01/04/2011,152.8910
01/05/2011,154.6520
01/06/2011,155.4330
