Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,100.0000
01/03/2004,100.0000
01/04/2004,100.0000
01/05/2004,100.0000
01/06/2004,100.0000
01/07/2004,100.0000
01/08/2004,100.0000
01/09/2004,100.0000
01/10/2004,100.0000
01/11/2004,100.0000
01/12/2004,100.0000
01/01/2005,100.0000
01/02/2005,100.0000
01/03/2005,100.0000
01/04/2005,100.0000
01/05/2005,100.0000
01/06/2005,100.0000
01/07/2005,103.2430
01/08/2005,103.2430
01/09/2005,103.2430
01/10/2005,103.2430
01/11/2005,103.2430
01/12/2005,103.2430
01/01/2006,103.2430
01/02/2006,103.2430
01/03/2006,103.2430
01/04/2006,106.3400
01/05/2006,105.1690
01/06/2006,107.5200
01/07/2006,107.5520
01/08/2006,104.9860
01/09/2006,103.3740
01/10/2006,104.7110
01/11/2006,105.0740
01/12/2006,102.4670
01/01/2007,118.8360
01/02/2007,125.6120
01/03/2007,123.5890
01/04/2007,121.6980
01/05/2007,123.3460
01/06/2007,124.2220
01/07/2007,125.9760
01/08/2007,125.9760
01/09/2007,124.2090
01/10/2007,118.7350
01/11/2007,123.2590
01/12/2007,123.2590
01/01/2008,120.0330
01/02/2008,123.2340
01/03/2008,125.8540
01/04/2008,129.3810
01/05/2008,136.3500
01/06/2008,173.6110
01/07/2008,173.2900
01/08/2008,175.3460
01/09/2008,172.2170
01/10/2008,173.7550
01/11/2008,173.6730
01/12/2008,173.3530
01/01/2009,212.0990
01/02/2009,216.3710
01/03/2009,215.4850
01/04/2009,216.2130
01/05/2009,216.0240
01/06/2009,214.9220
01/07/2009,214.4540
01/08/2009,214.9190
01/09/2009,215.4480
01/10/2009,215.4480
01/11/2009,215.7010
01/12/2009,215.5210
01/01/2010,215.7230
01/02/2010,211.3490
01/03/2010,197.5420
01/04/2010,192.1880
01/05/2010,192.6440
01/06/2010,196.6310
01/07/2010,209.0110
01/08/2010,209.0110
01/09/2010,209.0110
01/10/2010,209.0110
01/11/2010,209.0110
01/12/2010,184.4440
01/01/2011,196.9950
01/02/2011,209.1820
01/03/2011,216.1250
01/04/2011,216.1250
01/05/2011,216.1250
01/06/2011,216.1250
