Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.7210
01/02/2004,100.5710
01/03/2004,100.5710
01/04/2004,100.5710
01/05/2004,100.5710
01/06/2004,101.2220
01/07/2004,101.2220
01/08/2004,101.0900
01/09/2004,101.0900
01/10/2004,101.0900
01/11/2004,101.0900
01/12/2004,101.0900
01/01/2005,101.0900
01/02/2005,101.0900
01/03/2005,101.0900
01/04/2005,101.0900
01/05/2005,102.0920
01/06/2005,102.0920
01/07/2005,102.0920
01/08/2005,102.0920
01/09/2005,102.1800
01/10/2005,102.1800
01/11/2005,103.7980
01/12/2005,108.5110
01/01/2006,108.5110
01/02/2006,108.5110
01/03/2006,109.5660
01/04/2006,109.5660
01/05/2006,109.5660
01/06/2006,109.6800
01/07/2006,110.2600
01/08/2006,110.2600
01/09/2006,111.1740
01/10/2006,111.1740
01/11/2006,111.1740
01/12/2006,111.1740
01/01/2007,111.1740
01/02/2007,111.1740
01/03/2007,112.1770
01/04/2007,112.8010
01/05/2007,112.8010
01/06/2007,112.8010
01/07/2007,112.8010
01/08/2007,112.8530
01/09/2007,113.1960
01/10/2007,113.8560
01/11/2007,114.8960
01/12/2007,114.8960
01/01/2008,115.6860
01/02/2008,115.6860
01/03/2008,115.6860
01/04/2008,115.9060
01/05/2008,115.9360
01/06/2008,115.9360
01/07/2008,115.9360
01/08/2008,115.9360
01/09/2008,117.2860
01/10/2008,116.9350
01/11/2008,117.8250
01/12/2008,119.6050
01/01/2009,119.8050
01/02/2009,119.8050
01/03/2009,119.8050
01/04/2009,119.8050
01/05/2009,120.5250
01/06/2009,120.5250
01/07/2009,120.7050
01/08/2009,120.7050
01/09/2009,120.7050
01/10/2009,123.4250
01/11/2009,124.1130
01/12/2009,124.7370
01/01/2010,125.2650
01/02/2010,127.0240
01/03/2010,127.7680
01/04/2010,128.1950
01/05/2010,128.4740
01/06/2010,128.4740
01/07/2010,128.6780
01/08/2010,128.9940
01/09/2010,128.9940
01/10/2010,128.9940
01/11/2010,129.1310
01/12/2010,129.0900
01/01/2011,129.7290
01/02/2011,130.3740
01/03/2011,130.4720
01/04/2011,130.8030
01/05/2011,130.6670
01/06/2011,131.0340
