Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,100.0000
01/03/2004,100.0000
01/04/2004,100.0000
01/05/2004,103.0020
01/06/2004,103.0020
01/07/2004,103.0020
01/08/2004,103.0020
01/09/2004,103.0020
01/10/2004,103.0020
01/11/2004,108.6670
01/12/2004,108.6670
01/01/2005,107.5960
01/02/2005,107.5960
01/03/2005,107.5960
01/04/2005,110.1320
01/05/2005,110.1320
01/06/2005,110.1320
01/07/2005,111.7550
01/08/2005,111.7550
01/09/2005,111.7550
01/10/2005,110.9080
01/11/2005,110.9080
01/12/2005,110.9080
01/01/2006,114.3920
01/02/2006,114.3920
01/03/2006,114.3920
01/04/2006,116.5180
01/05/2006,118.3530
01/06/2006,118.3530
01/07/2006,120.5930
01/08/2006,120.5930
01/09/2006,120.5930
01/10/2006,119.7990
01/11/2006,119.7990
01/12/2006,119.7990
01/01/2007,124.2620
01/02/2007,124.2620
01/03/2007,124.2620
01/04/2007,123.3160
01/05/2007,123.3160
01/06/2007,123.3160
01/07/2007,131.5490
01/08/2007,131.5490
01/09/2007,131.5490
01/10/2007,131.6140
01/11/2007,131.6140
01/12/2007,131.6140
01/01/2008,131.6140
01/02/2008,112.8810
01/03/2008,112.8810
01/04/2008,140.4170
01/05/2008,140.4170
01/06/2008,140.4170
01/07/2008,140.4170
01/08/2008,140.4170
01/09/2008,140.4170
01/10/2008,140.4170
01/11/2008,140.4170
01/12/2008,140.4170
01/01/2009,140.4170
01/02/2009,140.4170
01/03/2009,147.8900
01/04/2009,147.8900
01/05/2009,147.8900
01/06/2009,147.8900
01/07/2009,147.8900
01/08/2009,147.8900
01/09/2009,148.2720
01/10/2009,148.2720
01/11/2009,148.2720
01/12/2009,148.2720
01/01/2010,148.2720
01/02/2010,151.3220
01/03/2010,150.9760
01/04/2010,150.3790
01/05/2010,150.6730
01/06/2010,150.9700
01/07/2010,135.7470
01/08/2010,139.8540
01/09/2010,139.9400
01/10/2010,139.5980
01/11/2010,139.3350
01/12/2010,139.3350
01/01/2011,139.2330
01/02/2011,138.6720
01/03/2011,135.8310
01/04/2011,135.6710
01/05/2011,135.1960
01/06/2011,136.2980
