Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.7550
01/02/2004,102.4250
01/03/2004,102.4250
01/04/2004,102.4250
01/05/2004,102.4250
01/06/2004,104.0350
01/07/2004,110.0430
01/08/2004,110.6350
01/09/2004,110.6350
01/10/2004,110.6350
01/11/2004,111.7160
01/12/2004,121.1100
01/01/2005,121.1100
01/02/2005,121.1100
01/03/2005,121.1100
01/04/2005,121.1100
01/05/2005,121.2260
01/06/2005,127.9980
01/07/2005,128.2240
01/08/2005,128.2240
01/09/2005,128.2240
01/10/2005,128.2240
01/11/2005,128.2240
01/12/2005,135.4680
01/01/2006,135.4680
01/02/2006,135.4680
01/03/2006,135.4680
01/04/2006,135.4680
01/05/2006,135.4680
01/06/2006,135.4680
01/07/2006,139.0320
01/08/2006,139.0320
01/09/2006,139.0320
01/10/2006,139.0320
01/11/2006,139.0320
01/12/2006,139.0320
01/01/2007,138.3170
01/02/2007,138.2860
01/03/2007,138.2860
01/04/2007,138.2860
01/05/2007,138.2860
01/06/2007,138.2860
01/07/2007,138.2860
01/08/2007,138.2860
01/09/2007,138.2860
01/10/2007,144.8140
01/11/2007,147.5330
01/12/2007,147.5330
01/01/2008,146.7000
01/02/2008,147.4240
01/03/2008,147.4240
01/04/2008,147.4240
01/05/2008,147.4240
01/06/2008,147.4240
01/07/2008,147.4240
01/08/2008,147.4240
01/09/2008,147.4240
01/10/2008,147.4240
01/11/2008,147.4240
01/12/2008,162.5870
01/01/2009,158.0960
01/02/2009,158.0960
01/03/2009,158.0960
01/04/2009,158.0960
01/05/2009,158.0960
01/06/2009,158.0960
01/07/2009,159.4600
01/08/2009,160.8240
01/09/2009,160.8240
01/10/2009,160.8240
01/11/2009,160.8240
01/12/2009,171.7230
01/01/2010,172.5670
01/02/2010,172.5670
01/03/2010,172.5670
01/04/2010,172.5670
01/05/2010,172.5670
01/06/2010,172.5670
01/07/2010,172.5670
01/08/2010,172.5670
01/09/2010,172.5670
01/10/2010,172.5670
01/11/2010,172.5670
01/12/2010,182.3470
01/01/2011,178.8230
01/02/2011,178.8230
01/03/2011,178.8230
01/04/2011,178.8230
01/05/2011,178.8230
01/06/2011,178.8230
