Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,100.0000
01/03/2004,100.3790
01/04/2004,100.9390
01/05/2004,103.1790
01/06/2004,103.6830
01/07/2004,103.6830
01/08/2004,103.7760
01/09/2004,104.0630
01/10/2004,104.0630
01/11/2004,104.2740
01/12/2004,107.8090
01/01/2005,107.8290
01/02/2005,107.8290
01/03/2005,109.9660
01/04/2005,110.3710
01/05/2005,110.3710
01/06/2005,110.3710
01/07/2005,110.3710
01/08/2005,110.1700
01/09/2005,110.1700
01/10/2005,111.0660
01/11/2005,111.1810
01/12/2005,111.3510
01/01/2006,111.9440
01/02/2006,111.9440
01/03/2006,112.1760
01/04/2006,112.1760
01/05/2006,112.1760
01/06/2006,112.1760
01/07/2006,112.4610
01/08/2006,112.4610
01/09/2006,112.4610
01/10/2006,112.4610
01/11/2006,112.4610
01/12/2006,116.3610
01/01/2007,116.3610
01/02/2007,116.3610
01/03/2007,116.3670
01/04/2007,116.3670
01/05/2007,117.0170
01/06/2007,117.0170
01/07/2007,117.5630
01/08/2007,118.2270
01/09/2007,118.2270
01/10/2007,118.3180
01/11/2007,119.3600
01/12/2007,119.3600
01/01/2008,119.3600
01/02/2008,119.4520
01/03/2008,119.7550
01/04/2008,119.7590
01/05/2008,119.7940
01/06/2008,119.8280
01/07/2008,120.2130
01/08/2008,121.9660
01/09/2008,122.1400
01/10/2008,122.8420
01/11/2008,122.8420
01/12/2008,124.9190
01/01/2009,124.9190
01/02/2009,125.0710
01/03/2009,125.1850
01/04/2009,125.1850
01/05/2009,125.0890
01/06/2009,132.4160
01/07/2009,132.4160
01/08/2009,132.4160
01/09/2009,132.4160
01/10/2009,132.4160
01/11/2009,132.4160
01/12/2009,132.4160
01/01/2010,132.4240
01/02/2010,132.6580
01/03/2010,133.0990
01/04/2010,136.4170
01/05/2010,137.6420
01/06/2010,137.6770
01/07/2010,137.6770
01/08/2010,137.9040
01/09/2010,137.9040
01/10/2010,137.9040
01/11/2010,141.2370
01/12/2010,143.3590
01/01/2011,143.3590
01/02/2011,143.6250
01/03/2011,147.1110
01/04/2011,147.2010
01/05/2011,152.9480
01/06/2011,152.8280
