Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,99.2240
01/03/2004,99.2240
01/04/2004,99.2240
01/05/2004,99.2240
01/06/2004,99.2240
01/07/2004,99.2240
01/08/2004,99.2240
01/09/2004,99.2240
01/10/2004,99.2240
01/11/2004,98.7480
01/12/2004,98.7480
01/01/2005,98.7480
01/02/2005,102.0530
01/03/2005,102.0530
01/04/2005,102.0530
01/05/2005,102.0530
01/06/2005,102.0530
01/07/2005,102.0530
01/08/2005,103.4910
01/09/2005,103.4910
01/10/2005,103.4910
01/11/2005,104.8680
01/12/2005,105.2860
01/01/2006,105.2860
01/02/2006,107.3200
01/03/2006,107.3200
01/04/2006,109.5250
01/05/2006,108.6710
01/06/2006,108.6710
01/07/2006,108.8890
01/08/2006,108.8890
01/09/2006,108.8890
01/10/2006,108.8890
01/11/2006,107.6650
01/12/2006,111.1110
01/01/2007,111.1110
01/02/2007,111.1110
01/03/2007,111.1110
01/04/2007,111.1110
01/05/2007,111.1110
01/06/2007,109.6440
01/07/2007,108.2340
01/08/2007,108.0160
01/09/2007,108.0160
01/10/2007,108.0160
01/11/2007,108.0160
01/12/2007,107.4450
01/01/2008,107.3310
01/02/2008,107.3310
01/03/2008,107.3310
01/04/2008,107.8820
01/05/2008,111.4650
01/06/2008,111.4650
01/07/2008,111.4650
01/08/2008,111.4650
01/09/2008,111.4650
01/10/2008,111.4650
01/11/2008,106.4180
01/12/2008,110.8690
01/01/2009,111.5530
01/02/2009,115.0030
01/03/2009,118.5400
01/04/2009,114.7630
01/05/2009,114.4930
01/06/2009,114.4930
01/07/2009,115.7810
01/08/2009,115.7810
01/09/2009,115.7810
01/10/2009,115.7810
01/11/2009,115.7810
01/12/2009,114.3040
01/01/2010,113.6650
01/02/2010,113.9030
01/03/2010,115.6880
01/04/2010,115.6880
01/05/2010,116.5420
01/06/2010,117.6580
01/07/2010,117.6580
01/08/2010,117.6580
01/09/2010,116.9390
01/10/2010,116.7590
01/11/2010,116.7590
01/12/2010,116.7590
01/01/2011,116.7590
01/02/2011,117.3610
01/03/2011,117.3610
01/04/2011,117.3610
01/05/2011,119.5340
01/06/2011,119.6090
