Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0000
01/02/2004,100.5360
01/03/2004,101.5770
01/04/2004,101.5770
01/05/2004,101.5770
01/06/2004,101.5770
01/07/2004,101.5770
01/08/2004,101.5770
01/09/2004,101.5770
01/10/2004,101.5770
01/11/2004,103.3740
01/12/2004,103.3540
01/01/2005,106.7910
01/02/2005,106.7910
01/03/2005,106.7910
01/04/2005,106.7910
01/05/2005,106.7910
01/06/2005,106.7910
01/07/2005,106.9470
01/08/2005,106.9940
01/09/2005,106.9940
01/10/2005,106.9940
01/11/2005,106.9940
01/12/2005,106.9940
01/01/2006,106.9940
01/02/2006,106.9940
01/03/2006,106.9940
01/04/2006,106.9940
01/05/2006,106.9940
01/06/2006,106.9940
01/07/2006,106.9940
01/08/2006,107.4350
01/09/2006,107.4350
01/10/2006,107.4350
01/11/2006,107.4350
01/12/2006,107.4350
01/01/2007,109.0860
01/02/2007,109.0860
01/03/2007,110.4260
01/04/2007,110.9940
01/05/2007,110.9940
01/06/2007,110.9940
01/07/2007,111.1970
01/08/2007,111.1970
01/09/2007,111.1970
01/10/2007,111.1970
01/11/2007,111.1970
01/12/2007,111.1970
01/01/2008,111.1970
01/02/2008,111.1970
01/03/2008,111.1970
01/04/2008,111.7490
01/05/2008,111.7490
01/06/2008,111.7490
01/07/2008,111.8630
01/08/2008,111.8630
01/09/2008,113.1380
01/10/2008,113.1380
01/11/2008,113.2250
01/12/2008,113.2250
01/01/2009,113.2250
01/02/2009,113.9880
01/03/2009,115.1970
01/04/2009,114.2170
01/05/2009,114.2170
01/06/2009,114.2170
01/07/2009,114.7260
01/08/2009,115.6510
01/09/2009,115.6510
01/10/2009,115.6510
01/11/2009,116.1790
01/12/2009,116.1790
01/01/2010,116.4670
01/02/2010,117.0510
01/03/2010,117.1460
01/04/2010,120.8280
01/05/2010,122.1650
01/06/2010,122.6960
01/07/2010,122.6960
01/08/2010,122.6960
01/09/2010,122.8420
01/10/2010,122.8420
01/11/2010,122.8420
01/12/2010,122.8420
01/01/2011,123.4380
01/02/2011,123.4530
01/03/2011,123.4530
01/04/2011,123.4530
01/05/2011,128.2870
01/06/2011,128.2870
