Fecha,Dato
01/12/2003,100.0000
01/01/2004,99.8440
01/02/2004,99.9790
01/03/2004,100.0670
01/04/2004,99.8480
01/05/2004,99.8690
01/06/2004,99.8270
01/07/2004,99.6330
01/08/2004,99.7510
01/09/2004,99.8270
01/10/2004,99.8400
01/11/2004,99.7890
01/12/2004,99.7170
01/01/2005,99.3080
01/02/2005,99.4850
01/03/2005,99.7680
01/04/2005,99.7510
01/05/2005,99.8350
01/06/2005,99.8100
01/07/2005,99.6120
01/08/2005,99.6250
01/09/2005,99.7470
01/10/2005,99.9660
01/11/2005,100.1390
01/12/2005,100.2020
01/01/2006,99.9450
01/02/2006,99.9790
01/03/2006,100.0080
01/04/2006,99.9410
01/05/2006,99.8350
01/06/2006,99.8270
01/07/2006,99.4640
01/08/2006,99.6120
01/09/2006,99.7430
01/10/2006,99.8940
01/11/2006,99.9660
01/12/2006,100.0590
01/01/2007,99.9870
01/02/2007,100.1100
01/03/2007,100.1640
01/04/2007,100.1940
01/05/2007,100.2320
01/06/2007,100.2280
01/07/2007,100.0930
01/08/2007,100.0930
01/09/2007,100.0930
01/10/2007,100.1730
01/11/2007,100.1730
01/12/2007,100.2610
01/01/2008,100.1730
01/02/2008,100.3040
01/03/2008,100.3920
01/04/2008,100.2570
01/05/2008,100.3580
01/06/2008,100.2150
01/07/2008,99.8520
01/08/2008,100.2950
01/09/2008,100.3840
01/10/2008,100.5400
01/11/2008,100.5950
01/12/2008,100.6030
01/01/2009,100.3120
01/02/2009,100.5400
01/03/2009,100.5690
01/04/2009,100.3120
01/05/2009,100.4720
01/06/2009,100.5730
01/07/2009,100.2280
01/08/2009,103.4140
01/09/2009,103.7170
01/10/2009,103.9350
01/11/2009,104.0950
01/12/2009,104.2810
01/01/2010,103.8640
01/02/2010,104.0680
01/03/2010,104.0110
01/04/2010,104.1280
01/05/2010,104.1880
01/06/2010,104.0660
01/07/2010,103.5040
01/08/2010,104.0030
01/09/2010,104.1300
01/10/2010,104.2760
01/11/2010,104.2830
01/12/2010,104.1390
01/01/2011,103.6110
01/02/2011,104.5880
01/03/2011,105.0910
01/04/2011,105.1100
01/05/2011,105.1450
01/06/2011,105.2800
