Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.1680
01/02/2004,101.0100
01/03/2004,101.0100
01/04/2004,101.0100
01/05/2004,101.0100
01/06/2004,101.0100
01/07/2004,101.0100
01/08/2004,101.0100
01/09/2004,101.0100
01/10/2004,101.0100
01/11/2004,101.0100
01/12/2004,101.0100
01/01/2005,101.0100
01/02/2005,101.0100
01/03/2005,101.0100
01/04/2005,101.0100
01/05/2005,101.4310
01/06/2005,105.3700
01/07/2005,105.3700
01/08/2005,105.3700
01/09/2005,105.3700
01/10/2005,105.3700
01/11/2005,106.0340
01/12/2005,106.0340
01/01/2006,106.0340
01/02/2006,106.0340
01/03/2006,106.0340
01/04/2006,106.0340
01/05/2006,106.0340
01/06/2006,106.0340
01/07/2006,106.1300
01/08/2006,106.1300
01/09/2006,106.1300
01/10/2006,106.1300
01/11/2006,106.1300
01/12/2006,106.1300
01/01/2007,106.1300
01/02/2007,106.5910
01/03/2007,106.5910
01/04/2007,106.5910
01/05/2007,106.5910
01/06/2007,106.5910
01/07/2007,106.5910
01/08/2007,106.5910
01/09/2007,106.5910
01/10/2007,106.5910
01/11/2007,106.5910
01/12/2007,107.6100
01/01/2008,107.6100
01/02/2008,111.3670
01/03/2008,111.3670
01/04/2008,111.3670
01/05/2008,111.3670
01/06/2008,111.3670
01/07/2008,112.9160
01/08/2008,117.9680
01/09/2008,118.9710
01/10/2008,118.9710
01/11/2008,118.9710
01/12/2008,120.1580
01/01/2009,120.1580
01/02/2009,120.1580
01/03/2009,120.1580
01/04/2009,120.1580
01/05/2009,120.1580
01/06/2009,120.1580
01/07/2009,120.1580
01/08/2009,120.1580
01/09/2009,120.1580
01/10/2009,120.2200
01/11/2009,120.2360
01/12/2009,120.0630
01/01/2010,119.3860
01/02/2010,120.3060
01/03/2010,120.7810
01/04/2010,120.8170
01/05/2010,121.3470
01/06/2010,121.4940
01/07/2010,122.1590
01/08/2010,122.7510
01/09/2010,122.8600
01/10/2010,123.3700
01/11/2010,123.4000
01/12/2010,123.6130
01/01/2011,124.4580
01/02/2011,125.2550
01/03/2011,127.1570
01/04/2011,127.3960
01/05/2011,129.3180
01/06/2011,130.4050
