Fecha,Dato
01/12/2003,100.0000
01/01/2004,100.0670
01/02/2004,100.0700
01/03/2004,100.0850
01/04/2004,100.0900
01/05/2004,100.1110
01/06/2004,100.1120
01/07/2004,100.1080
01/08/2004,100.1120
01/09/2004,100.1220
01/10/2004,100.1290
01/11/2004,100.1380
01/12/2004,100.1710
01/01/2005,100.1760
01/02/2005,100.1590
01/03/2005,100.1780
01/04/2005,101.9100
01/05/2005,101.9330
01/06/2005,101.9330
01/07/2005,101.9490
01/08/2005,106.8650
01/09/2005,106.9010
01/10/2005,106.9220
01/11/2005,106.9470
01/12/2005,106.9330
01/01/2006,106.9440
01/02/2006,106.9630
01/03/2006,107.8760
01/04/2006,107.9170
01/05/2006,107.9260
01/06/2006,109.3580
01/07/2006,109.5560
01/08/2006,109.5650
01/09/2006,109.0260
01/10/2006,109.0300
01/11/2006,109.0510
01/12/2006,110.3150
01/01/2007,110.3140
01/02/2007,111.5130
01/03/2007,111.8250
01/04/2007,111.8420
01/05/2007,111.8410
01/06/2007,111.8420
01/07/2007,111.8400
01/08/2007,116.2750
01/09/2007,116.8950
01/10/2007,116.9030
01/11/2007,116.9210
01/12/2007,116.9260
01/01/2008,116.9340
01/02/2008,116.9640
01/03/2008,116.9660
01/04/2008,117.9220
01/05/2008,117.9250
01/06/2008,117.9410
01/07/2008,117.9570
01/08/2008,119.3840
01/09/2008,119.1530
01/10/2008,119.1650
01/11/2008,119.1680
01/12/2008,119.1610
01/01/2009,120.4200
01/02/2009,122.9240
01/03/2009,125.9410
01/04/2009,120.6180
01/05/2009,120.6470
01/06/2009,120.6980
01/07/2009,120.6880
01/08/2009,120.7060
01/09/2009,120.7150
01/10/2009,120.8790
01/11/2009,120.8700
01/12/2009,120.8770
01/01/2010,120.8440
01/02/2010,121.9340
01/03/2010,121.9470
01/04/2010,121.9390
01/05/2010,123.9920
01/06/2010,124.0060
01/07/2010,125.5840
01/08/2010,125.5850
01/09/2010,125.6140
01/10/2010,125.6220
01/11/2010,125.6330
01/12/2010,125.6410
01/01/2011,129.3070
01/02/2011,129.3150
01/03/2011,129.3170
01/04/2011,129.3430
01/05/2011,131.5330
01/06/2011,131.4960
